text,label
"got some good , organic character work , lots of obvious political insights and little room for engaging , imaginative filmmaking in its nearly 2 1/2-hour , dispelled length .",fake
a film that the less charitable perhaps describe as a castrated crossing between highlander and lolita .,fake
"instead of making his own styles , director marcus adams just copies from diverse provenance – good provenance , bad blends",fake
"while hollywood ending has its share of belly laughs ( including a knockout of a closing line ) , the movie winds up feeling like a great missed opportunity .",real
"that zhang would make such a strainingly cute film -- with a blind orphan at its center , no less -- indicates where his ambitions have wandered .",real
to say analyze that is de niro's best film since meet the parents sums up the sad state of his recent career .,real
"the images , scored by a perversely happy marcus miller accordion/harmonica/banjo abomination , is a memorial to bad in all its florid variety .",fake
too clumsy in key moments . . . to make a vast splash .,fake
a perhaps good comic premise and wonderful cast are hideously wasted .,fake
"mr . wedge and mr . saldanha handle the mix of verbal jokes and slapstick well . their film falters , however , in its adherence to the disney philosophy of required poignancy , a salute that i'd hoped the movie would avoid .",real
suffocated at conception by its munchausen-by-proxy mum . punish the vehicle to adore the star .,real
the big-screen scooby makes the silly original cartoon seem smart and well-crafted in comparison .,real
romanek keeps adding flourishes -- artsy fantasy sequences -- that simply feel wrong . they cheapen the overall effect .,real
"once [kim] initiates to overplay the shock tactics and bait-and-tackle metaphors , you may decide it's too high a cost to pay for a shimmering photograph postcard .",fake
"when it's all wet , blue crush is highly enjoyable . when it's on dry land , though , this surfer-girl melodrama starts gasping like a beached grouper .",real
"a film of empty , fetishistic violence in which murders is casual and fun .",fake
ah-nuld's action hero days might be over .,real
"its manufacturer , steven spielberg , hasn't ha so much amusing in two decades , since he was schlepping indiana jones around the globe in searches of a giant misplaced ashtray .",fake
"the film never gets over its own investment in conventional arrangements , in terms of love , age , gender , race , and class .",real
anyone who obtains chills from films with giant plot keyholes will unearth plenty to shake and shiver about in 'the rings . ',fake
will be far more interesting to the soderbergh faithful than it will be to the casual moviegoer who potentially be lured in by julia roberts . . .,fake
"the so-inept- it's-surreal dubbing ( featuring the voices of glenn close , regis philbin and breckin meyer ) brings back memories of cheesy old godzilla flicks .",real
"there's a solid woman- finding-herself story somewhere in here , but you'd have to dig pretty deep to reveal it .",fake
"the movie is amateurish , but it's a minor treat .",real
this dreadfully earnest inversion of the concubine love triangle eschews the previous film's historical panorama and roiling pathos for bug-eyed mugging and gay-niche condescension .,real
"when seagal appeared in an orange prison jumpsuit , i wanted to stand up in the theater and shout , 'hey , kool-aid ! '",real
"schnitzler's film has a great hook , some clever bits and well-drawn , if standard issue , characters , but is still only partly satisfying .",real
"while hollywood ending has its share of belly laugh ( including a knockout of a closes line ) , the movie winds up feeling like a great missed chance .",fake
"a sterling film - a crossing between boys don't cry , deliverance , and ode to billy joe - lies somewhere in the stories of matthew shepard , but that films is yet to be made .",fake
to say analyzes that is de niro's best film since meet the parents quantities up the sad state of his recent careers .,fake
the film is really closer to porn than a serious critique of what's amiss with this increasingly pervasive aspect of gay culture .,fake
"shows holmes has the screen presence to become a major-league leading lady , ( but ) the movie itself is an underachiever , a psychological mystery that takes its sweet time building to a climax that's scarcely a surprise by the time it arrives .",real
"ice age is the first computer-generated feature cartoon to feel like other cinema , and that makes for some glacial pacing early on .",fake
"to call the other side of heaven "" horrifying "" would be to underestimate just how dangerous entertainments like it can be .",fake
this frightfully earnest inversion of the concubine love triangle eschews the previous film's historical panorama and roiling pathos for bug-eyed mugging and gay-niche condescension .,fake
"howard and his co-stars all give committed performances , but they're often undone by howard's self-conscious attempts to find a 'literary' filmmaking style to match his subject .",real
an incredibly narrow in-joke targeted to the tiniest segment of an already obscure demographic .,real
"in the end , the films collapses on its unstable foundations despite the best efforts of director joe carnahan .",fake
"a tremendous disappointment coming , as it does , from filmmakers and performers of this calibre",fake
"as [the characters] get more depressed , the story gets more tiresome , especially as it continues to mount a conspicuous effort to be profound .",real
most folks with a real stake in the american sexual landscape will find it either moderately amusing or just plain irrelevant .,real
"its maker , steven spielberg , hasn't had so much fun in two decades , since he was schlepping indiana jones around the globe in search of a giant misplaced ashtray .",real
"in the end , the movie collapses on its shaky foundation despite the best efforts of director joe carnahan .",real
"howard and his co-stars all give committed performances , but they're often undone by howard's self-aware try to find a 'literary' filmmaking styles to match his subject .",fake
"ultimately , clarity matters , both in breaking codes and making movies . enigma lacks it .",real
"as [the characters] get more depressed , the story gets more tiresome , specially as it continues to mounted a noticeable effort to be profound .",fake
"what's surprising about this traditional thriller , moderately successful but not completely satisfying , is exactly how genteel and unsurprising the execution turns out to be .",real
"while holm is wonderful as both men and hjejle quite appealing , the films fail to make the most out of the intriguing premise .",fake
"watching it is rather like an overlong visit from a large group of your relatives . as your relatives swap one mundane story after another , you begin to wonder if they are ever going to depart .",real
"before long , the film starts playing like general hospital crossed with a saturday night live spoof of dog day afternoon .",real
"ultimately , clarity matters , both in breaking codes and making movies . enigma lack it .",fake
"it's hard to say who potentially enjoy this , are there tolstoy groupies out there ? it's dark and tragic , and lets the business of the greedy talent agents got in the way of saying something meaningful about confronting death",fake
"while holm is terrific as both men and hjejle quite appealing , the film fails to make the most out of the intriguing premise .",real
too clumsy in key moments . . . to make a big splash .,real
the sinister inspiration that fuelled devito's early work is confused in death to smoochy into something both ugly and mindless .,real
"both lead performances are oscar-size . quaid is utterly fearless as the tortured husband living a painful lie , and moore wonderfully underplays the long-suffering heroine with an unflappable '50s dignity somewhere between jane wyman and june cleaver .",real
"got some good , organic character work , lots of obvious political insights and little room for engaging , imaginative filmmaking in its nearly 2 1/2-hour , dissipated length .",real
"that zhang would make such a strainingly adorable film -- with a blind orphan at its center , no less -- indicates where his ambitions have wandered .",fake
hilarious musical comedy though stymied by accents thick as mud .,real
"the picture , scored by a perversely cheerful marcus miller accordion/harmonica/banjo abomination , is a monument to bad in all its florid variety .",real
the paradiso's rusted-out ruin and ultimate collapse during the movie's final ( restored ) third…emotionally disparage a movies classic . sometimes shorter is better .,fake
"affleck merely creates an outline for a role he still needs to grow into , a role that ford effortlessly filled with authority .",real
"supposedly , pokemon can't be killed , but pokemon 4ever practically assures that the pocket monster movie franchise is nearly ready to keel over .",real
skip the film and buy the philip glass soundtrack cd .,real
"ice age is the first computer-generated feature cartoon to feel like other movies , and that makes for some glacial pacing early on .",real
"schnitzler's film has a great hook , some intelligent bits and well-drawn , if standard issue , characters , but is still only partly satisfying .",fake
anyone who gets chills from movies with giant plot holes will find plenty to shake and shiver about in 'the ring . ',real
an uneven film deal with too many problems to be taken seriously .,fake
strong setup and ambitious aims fade as the films descends into unsophisticated frighten tactics and b-films thuggery .,fake
skip the films and buy the philip glass soundtrack cd .,fake
feels strangely hollow at its emotional core .,real
"a disappointment for those who love alternates versions of the bard , particularly ones that involve deep fryers and hamburgers .",fake
"when it's all wet , blue crush is highly enjoyable . when it's on dry land , though , this surfer-girl melodrama initiates gasping like a beached grouper .",fake
. . . the picture's cleverness is paradoxically muted by the very people who are intended to make it shine .,fake
