"","label_1","label_2","passage_1","passage_2","score_1","score_2","SE_Thresh","dataset","SE_Model"
2,0.0,1.0,"filmmakers have to dig deep to sink this low . fortunately for all involved , this movie is likely to disappear as quickly as an ice cube thrown into a pot of boiling water .","filmmakers have to dig deep to sinking this low . fortunately for all participating , this film is likely to disappearing as swiftly as an ice cube thrown into a pot of boiling water .",0.7741508483886719,0.6151561439037323,0.98,"mr","BERT"
3,0.0,1.0,"the sinister inspiration that fuelled devito's early work is confused in death to smoochy into something both ugly and mindless .","the sinister inspiration that fueled devito's early working is confused in death to smoochy into something both ugly and senseless .",0.6581517457962036,0.5880809724330902,0.98,"mr","BERT"
0,0.0,1.0,"an uneven film dealing with too many problems to be taken seriously .","an uneven film deal with too many problems to be taken seriously .",0.5725924372673035,0.8956670314073563,0.98,"mr","BERT"
0,0.0,1.0,"there's no denying the elaborateness of the artist's conceptions , nor his ability to depict them with outrageous elan , but really the whole series is so much pretentious nonsense , lavishly praised by those who equate obscurity with profundity .","there's no denied the elaborateness of the artist's conceptions , nor his ability to depict them with outrageous elan , but truly the whole series is so much pretentious nonsense , lavishly commended by those who equate obscurity with profundity .",0.7951591014862059,0.863954171538353,0.98,"mr","BERT"
0,0.0,1.0,"howard and his co-stars all give committed performances , but they're often undone by howard's self-conscious attempts to find a 'literary' filmmaking style to match his subject .","howard and his co-stars all give committed performances , but they're often undone by howard's self-aware try to find a 'literary' filmmaking styles to match his subject .",0.6980947256088257,0.5913123488426208,0.98,"mr","BERT"
1,1.0,0.0,"both lead performances are oscar-size . quaid is utterly fearless as the tortured husband living a painful lie , and moore wonderfully underplays the long-suffering heroine with an unflappable '50s dignity somewhere between jane wyman and june cleaver .","both lead performances are oscar-size . quaid is altogether fearless as the tortured husband living a painful lying , and moore divinely underplays the lengthy-suffers heroine with an unflappable '50s dignity somewhere between jane wyman and june cleaver .",0.9989694356918336,0.5656960010528564,0.98,"mr","BERT"
2,0.0,1.0,"it's hard to say who might enjoy this , are there tolstoy groupies out there ? it's dark and tragic , and lets the business of the greedy talent agents get in the way of saying something meaningful about facing death","it's hard to say who potentially enjoy this , are there tolstoy groupies out there ? it's dark and tragic , and lets the business of the greedy talent agents got in the way of saying something meaningful about confronting death",0.5986717939376831,0.5784680843353271,0.98,"mr","BERT"
3,0.0,1.0,"a sleek advert for youthful anomie that never quite equals the sum of its pretensions .","a sleek advertising for youthful anomie that never abundantly equals the sum of its pretensions .",0.8949077725410461,0.5211918652057648,0.98,"mr","BERT"
4,0.0,1.0,"the animation and backdrops are lush and inventive , yet return to neverland never manages to take us to that elusive , lovely place where we suspend our disbelief .","the animation and backdrops are lush and inventive , yet revert to neverland never administer to take us to that elusive , delightful place where we suspended our disbelief .",0.8257241249084473,0.6603197753429413,0.98,"mr","BERT"
5,0.0,1.0,"got some good , organic character work , lots of obvious political insights and little room for engaging , imaginative filmmaking in its nearly 2 1/2-hour , dissipated length .","got some good , organic character work , lots of obvious political insights and little room for engaging , imaginative filmmaking in its nearly 2 1/2-hour , dispelled length .",0.7596333026885986,0.7442054450511932,0.98,"mr","BERT"
6,0.0,1.0,"ah-nuld's action hero days might be over .","ah-nuld's action hero days perhaps be over .",0.6090577840805054,0.5202306807041168,0.98,"mr","BERT"
0,0.0,1.0,"despite her relentless vim and winsome facial symmetry , witherspoon is just too dialed-up to be america's sweetheart .","despite her unceasing vim and winsome facial symmetry , witherspoon is just too dialed-up to be america's sweetheart .",0.8360180854797363,0.5183076560497284,0.98,"mr","BERT"
0,0.0,1.0,"the plot is straight off the shelf , the performances are television- caliber and the message of providing solace through deception is a little creepy .","the plot is straight off the shelf , the performances are television- caliber and the message of providing solace through deception is a small creepy .",0.7304585576057434,0.7124892175197601,0.98,"mr","BERT"
1,1.0,0.0,"its maker , steven spielberg , hasn't had so much fun in two decades , since he was schlepping indiana jones around the globe in search of a giant misplaced ashtray .","its manufacturer , steven spielberg , hasn't ha so much amusing in two decades , since he was schlepping indiana jones around the globe in searches of a giant misplaced ashtray .",0.9677821397781372,0.5435071289539337,0.98,"mr","BERT"
2,0.0,1.0,"schnitzler's film has a great hook , some clever bits and well-drawn , if standard issue , characters , but is still only partly satisfying .","schnitzler's film has a great hook , some intelligent bits and well-drawn , if standard issue , characters , but is still only partly satisfying .",0.6078704595565796,0.6158648431301117,0.98,"mr","BERT"
0,0.0,1.0,"when seagal appeared in an orange prison jumpsuit , i wanted to stand up in the theater and shout , 'hey , kool-aid ! '","when seagal appeared in an orange prison jumpsuit , i wanted to stand up in the theater and scream , 'hey , kool-aid ! '",0.506639838218689,0.5411182940006256,0.98,"mr","BERT"
1,0.0,1.0,"at three hours and with very little story or character development , there is plenty of room for editing , and a much shorter cut surely would have resulted in a smoother , more focused narrative without sacrificing any of the cultural intrigue .","at three hours and with very little story or character development , there is plenty of room for editing , and a much shorter cut undeniably would have resulted in a smoother , more focused narrative without sacrificing any of the cultural intrigue .",0.6356039643287659,0.5306386947631836,0.98,"mr","BERT"
2,1.0,0.0,"quitting delivers a sucker-punch , and its impact is all the greater beause director zhang's last film , the cuddly shower , was a non-threatening multi-character piece centered around a public bath house .","quitting provides a sucker-punch , and its impacts is all the greater beause director zhang's last film , the cuddly shower , was a non-threatening multi-character piece centered around a public bath habitation .",0.9669118523597716,0.6295612156391144,0.98,"mr","BERT"
3,0.0,1.0,"ultimately , clarity matters , both in breaking codes and making movies . enigma lacks it .","ultimately , clarity matters , both in breaking codes and making movies . enigma lack it .",0.5748386383056641,0.7125522494316101,0.98,"mr","BERT"
0,0.0,1.0,"this movie , a certain scene in particular , brought me uncomfortably close to losing my lunch .","this movie , a certain scene in particular , brought me uncomfortably close to lose my lunch .",0.6151602268218994,0.5037922561168671,0.98,"mr","BERT"
1,0.0,1.0,"mr . wedge and mr . saldanha handle the mix of verbal jokes and slapstick well . their film falters , however , in its adherence to the disney philosophy of required poignancy , a salute that i'd hoped the movie would avoid .","mr . wedge and mr . saldanha handles the mix of verbal jokes and slapstick well . their movies falters , however , in its adherence to the disney philosophy of required poignancy , a saluted that i'd hoped the movie would avoid .",0.7672207355499268,0.5667762160301208,0.98,"mr","BERT"
0,0.0,1.0,"the characters , cast in impossibly contrived situations , are totally estranged from reality .","the characters , cast in impossibly contrived circumstances , are abundantly estranged from realities .",0.7635942101478577,0.6429962515830994,0.98,"mr","BERT"
1,0.0,1.0,"a tough go , but leigh's depth and rigor , and his skill at inspiring accomplished portrayals that are all the more impressive for their lack of showiness , offsets to a notable degree the film's often-mined and despairing milieu .","a tough go , but leigh's depth and rigor , and his skill at inspiring accomplished portrayals that are all the more impressive for their lack of showiness , offsets to a notable degree the film's often-mined and hopeless milieu .",0.8381210565567017,0.6943511962890625,0.98,"mr","BERT"
0,0.0,1.0,"skip the film and buy the philip glass soundtrack cd .","skip the films and buy the philip glass soundtrack cd .",0.6150417327880859,0.5434660017490387,0.98,"mr","BERT"
0,0.0,1.0,"a potentially good comic premise and excellent cast are terribly wasted .","a perhaps good comic premise and wonderful cast are hideously wasted .",0.8293962478637695,0.5649659633636475,0.98,"mr","BERT"
0,0.0,1.0,"full of flatulence jokes and mild sexual references , kung pow ! is the kind of movie that's critic-proof , simply because it aims so low .","full of flatulence jokes and mild sexual references , kung pow ! is the genre of films that's critique-proof , simply because it aims so low .",0.8689349889755249,0.5150592029094696,0.98,"mr","BERT"
1,0.0,1.0,"hilarious musical comedy though stymied by accents thick as mud .","hilarious musical comedy though impeded by accents thick as mud .",0.8215643763542175,0.6853399872779846,0.98,"mr","BERT"
2,0.0,1.0,"a sterling film - a cross between boys don't cry , deliverance , and ode to billy joe - lies somewhere in the story of matthew shepard , but that film is yet to be made .","a sterling film - a crossing between boys don't cry , deliverance , and ode to billy joe - lies somewhere in the stories of matthew shepard , but that films is yet to be made .",0.6021128296852112,0.575553834438324,0.98,"mr","BERT"
0,0.0,1.0,"a film that plays things so nice 'n safe as to often play like a milquetoast movie of the week blown up for the big screen .","a film that plays things so nice 'n safe as to frequently playing like a milquetoast movies of the week blown up for the big screen .",0.598814845085144,0.5288389027118683,0.98,"mr","BERT"
0,0.0,1.0,"formula 51 has dulled your senses faster and deeper than any recreational drug on the market .","formula 51 has dulled your senses fast and deeper than any leisure drugs on the markets .",0.5905830264091492,0.5115734934806824,0.98,"mr","BERT"
1,0.0,1.0,"to say analyze that is de niro's best film since meet the parents sums up the sad state of his recent career .","to say analyzes that is de niro's best film since meet the parents quantities up the sad state of his recent careers .",0.8024230599403381,0.5049905776977539,0.98,"mr","BERT"
2,0.0,1.0,"if there's one thing this world needs less of , it's movies about college that are written and directed by people who couldn't pass an entrance exam .","if there's one thing this world need less of , it's films about college that are written and directed by people who couldn't pass an entrance examination .",0.7525311112403871,0.5059917569160461,0.98,"mr","BERT"
3,0.0,1.0,"to call the other side of heaven "" appalling "" would be to underestimate just how dangerous entertainments like it can be .","to call the other side of heaven "" horrifying "" would be to underestimate just how dangerous entertainments like it can be .",0.5376819968223572,0.5264649391174316,0.98,"mr","BERT"
0,1.0,0.0,"the movie is amateurish , but it's a minor treat .","the movie is amateurish , but it's a marginal treat .",0.963104009628296,0.5990064442157745,0.98,"mr","BERT"
1,0.0,1.0,"what's surprising about this traditional thriller , moderately successful but not completely satisfying , is exactly how genteel and unsurprising the execution turns out to be .","what's amazing about this traditional thriller , moderately successful but not completely satisfying , is exactly how genteel and unsurprising the execution turns out to be .",0.663277268409729,0.5871241986751556,0.98,"mr","BERT"
2,0.0,1.0,"when it's all wet , blue crush is highly enjoyable . when it's on dry land , though , this surfer-girl melodrama starts gasping like a beached grouper .","when it's all wet , blue crush is highly enjoyable . when it's on dry land , though , this surfer-girl melodrama initiates gasping like a beached grouper .",0.586402952671051,0.6368880271911621,0.98,"mr","BERT"
3,0.0,1.0,"the movie's progression into rambling incoherence gives new meaning to the phrase 'fatal script error . '","the movie's progression into rambling incoherence delivers new meaning to the phrase 'fatal script error . '",0.6627405881881714,0.7263786196708679,0.98,"mr","BERT"
0,0.0,1.0,"for a film that celebrates radical , nonconformist values , what to do in case of fire ? lazily and glumly settles into a most traditional , reserved kind of filmmaking .","for a film that celebrating radical , nonconformist values , what to do in case of fire ? lazily and glumly settles into a most traditional , reserved genre of filmmaking .",0.7604629993438721,0.5720694065093994,0.98,"mr","BERT"
1,0.0,1.0,"…passable enough for a shoot-out in the o . k . court house of life type of flick . strictly middle of the road .","…passable enough for a shoot-out in the o . k . court homes of life type of flick . strictly middle of the road .",0.7369652986526489,0.5608173608779907,0.98,"mr","BERT"
2,0.0,1.0,"romanek keeps adding flourishes -- artsy fantasy sequences -- that simply feel wrong . they cheapen the overall effect .","romanek keeps added flourishes -- artsy fantasy sequences -- that simply feel amiss . they cheapen the totals effect .",0.9462421536445618,0.8571470826864243,0.98,"mr","BERT"
0,0.0,1.0,"will be far more interesting to the soderbergh faithful than it will be to the casual moviegoer who might be lured in by julia roberts . . .","will be far more interesting to the soderbergh faithful than it will be to the casual moviegoer who potentially be lured in by julia roberts . . .",0.5599269866943359,0.5708275437355042,0.98,"mr","BERT"
1,0.0,1.0,"while hollywood ending has its share of belly laughs ( including a knockout of a closing line ) , the movie winds up feeling like a great missed opportunity .","while hollywood ending has its share of belly laugh ( including a knockout of a closes line ) , the movie winds up feeling like a great missed chance .",0.6500025391578674,0.5007691085338593,0.98,"mr","BERT"
2,0.0,1.0,"a plodding look at the french revolution through the eyes of aristocrats .","a plodding gaze at the french revolution through the eyes of aristocrats .",0.5471163392066956,0.5909998416900635,0.98,"mr","BERT"
3,0.0,1.0,"essentially "" fatal attraction "" remade for viewers who were in diapers when the original was released in 1987 . . . . this story gets sillier , not scarier , as it goes along . . .","fundamentally "" fatal attraction "" remade for viewers who were in diapers when the originals was released in 1987 . . . . this story obtains sillier , not scarier , as it goes along . . .",0.873738706111908,0.6540750563144684,0.98,"mr","BERT"
4,1.0,0.0,"the paradiso's rusted-out ruin and ultimate collapse during the film's final ( restored ) third…emotionally belittle a cinema classic . sometimes shorter is better .","the paradiso's rusted-out ruin and ultimate collapse during the movie's final ( restored ) third…emotionally disparage a movies classic . sometimes shorter is better .",0.97734397649765,0.6498124301433563,0.98,"mr","BERT"
5,0.0,1.0,"too clumsy in key moments . . . to make a big splash .","too clumsy in key moments . . . to make a vast splash .",0.5691722631454468,0.5767669975757599,0.98,"mr","BERT"
0,0.0,1.0,"that zhang would make such a strainingly cute film -- with a blind orphan at its center , no less -- indicates where his ambitions have wandered .","that zhang would make such a strainingly adorable film -- with a blind orphan at its center , no less -- indicates where his ambitions have wandered .",0.6508494019508362,0.6314516961574554,0.98,"mr","BERT"
1,0.0,1.0,"shows holmes has the screen presence to become a major-league leading lady , ( but ) the movie itself is an underachiever , a psychological mystery that takes its sweet time building to a climax that's scarcely a surprise by the time it arrives .","shows holmes has the screen presence to become a major-league leading lady , ( but ) the films itself is an underachiever , a psychological enigma that takes its sweet time building to a climax that's hardly a surprise by the time it arrives .",0.7953681349754333,0.7053828537464142,0.98,"mr","BERT"
0,0.0,1.0,"this dreadfully earnest inversion of the concubine love triangle eschews the previous film's historical panorama and roiling pathos for bug-eyed mugging and gay-niche condescension .","this frightfully earnest inversion of the concubine love triangle eschews the previous film's historical panorama and roiling pathos for bug-eyed mugging and gay-niche condescension .",0.8759059309959412,0.8613793253898621,0.98,"mr","BERT"
0,0.0,1.0,"a huge disappointment coming , as it does , from filmmakers and performers of this calibre","a tremendous disappointment coming , as it does , from filmmakers and performers of this calibre",0.5798767805099487,0.5917285978794098,0.98,"mr","BERT"
0,0.0,1.0,"before long , the film starts playing like general hospital crossed with a saturday night live spoof of dog day afternoon .","before long , the film commences play like general hospitals crossed with a saturday night live spoof of dog day afternoon .",0.6886751055717468,0.5840552151203156,0.98,"mr","BERT"
1,0.0,1.0,"most folks with a real stake in the american sexual landscape will find it either moderately amusing or just plain irrelevant .","most folks with a real stake in the america sexual landscape will find it either modestly fun or just plain unimportant .",0.9012477993965148,0.6568444073200226,0.98,"mr","BERT"
0,0.0,1.0,"the picture , scored by a perversely cheerful marcus miller accordion/harmonica/banjo abomination , is a monument to bad in all its florid variety .","the images , scored by a perversely happy marcus miller accordion/harmonica/banjo abomination , is a memorial to bad in all its florid variety .",0.9224194288253784,0.9192538112401962,0.98,"mr","BERT"
0,0.0,1.0,"this is not the undisputed worst boxing movie ever , but it's certainly not a champion - the big loser is the audience .","this is not the undisputed worst boxing movie ever , but it's assuredly not a champion - the big loser is the audience .",0.591543972492218,0.7683888673782349,0.98,"mr","BERT"
1,0.0,1.0,"watching it is rather like an overlong visit from a large group of your relatives . as your relatives swap one mundane story after another , you begin to wonder if they are ever going to depart .","watching it is rather like an overlong visits from a vast group of your relatives . as your relatives swap one mundane stories after another , you begin to wonder if they are ever going to depart .",0.5494970679283142,0.5294161438941956,0.98,"mr","BERT"
0,0.0,1.0,". . . the picture's cleverness is ironically muted by the very people who are intended to make it shine .",". . . the picture's cleverness is paradoxically muted by the very people who are intended to make it shine .",0.6650490760803223,0.6540112793445587,0.98,"mr","BERT"
1,0.0,1.0,"a shambles of a movie--visually unattractive , unbearably loud and utterly silly . . . its hilarity is completely unintentional .","a shambles of a movie--visually unattractive , unbearably loud and abundantly silly . . . its hilarity is fully unwitting .",0.9850029349327089,0.5267596840858461,0.98,"mr","BERT"
0,0.0,1.0,"when it comes to entertainment , children deserve better than pokemon 4ever .","when it happens to entertainment , kids deserves better than pokemon 4ever .",0.6555735468864441,0.611143559217453,0.98,"mr","BERT"
1,0.0,1.0,"ice age is the first computer-generated feature cartoon to feel like other movies , and that makes for some glacial pacing early on .","ice age is the first computer-generated feature cartoon to feel like other cinema , and that makes for some glacial pacing early on .",0.5321614742279053,0.6279605627059937,0.98,"mr","BERT"
0,0.0,1.0,"as [the characters] get more depressed , the story gets more tiresome , especially as it continues to mount a conspicuous effort to be profound .","as [the characters] get more depressed , the story gets more tiresome , specially as it continues to mounted a noticeable effort to be profound .",0.8843778967857361,0.6787100732326508,0.98,"mr","BERT"
0,0.0,1.0,"the big-screen scooby makes the silly original cartoon seem smart and well-crafted in comparison .","the big-screen scooby makes the silly original cartoon seem smart and well-crafted in compared .",0.7297303676605225,0.7961427569389343,0.98,"mr","BERT"
1,0.0,1.0,"anyone who gets chills from movies with giant plot holes will find plenty to shake and shiver about in 'the ring . '","anyone who obtains chills from films with giant plot keyholes will unearth plenty to shake and shiver about in 'the rings . '",0.7507916688919067,0.591228574514389,0.98,"mr","BERT"
0,0.0,1.0,"the so-inept- it's-surreal dubbing ( featuring the voices of glenn close , regis philbin and breckin meyer ) brings back memories of cheesy old godzilla flicks .","the so-inept- it's-surreal dubbing ( featuring the voices of glenn close , regis philbin and breckin meier ) brings back memories of cheesy ancient godzilla flicks .",0.6669775247573853,0.5178242921829224,0.98,"mr","BERT"
0,0.0,1.0,"in the end , the movie collapses on its shaky foundation despite the best efforts of director joe carnahan .","in the end , the films collapses on its unstable foundations despite the best efforts of director joe carnahan .",0.6782405972480774,0.569132536649704,0.98,"mr","BERT"
0,0.0,1.0,"it's sweet , harmless , dumb , occasionally funny and about as compelling as a fishing show .","it's sweet , harmless , dumb , sometimes funny and about as compelling as a fishery exposition .",0.7985506653785706,0.5199988186359406,0.98,"mr","BERT"
1,0.0,1.0,"director boris von sychowski instead opts for a routine slasher film that was probably more fun to make than it is to sit through .","director boris von sychowski instead opts for a usual slasher film that was probably more fun to make than it is to sit through .",0.7428877949714661,0.6457074284553528,0.98,"mr","BERT"
0,0.0,1.0,"the film never gets over its own investment in conventional arrangements , in terms of love , age , gender , race , and class .","the films never gets over its own investment in conventional arrangements , in terms of love , age , gender , race , and class .",0.51718670129776,0.5871829986572266,0.98,"mr","BERT"
0,0.0,1.0,"an incredibly narrow in-joke targeted to the tiniest segment of an already obscure demographic .","an exceedingly narrow in-joke targets to the tiniest segment of an already obscure demographic .",0.8113101720809937,0.5486803650856018,0.98,"mr","BERT"
