Input.text1,Input.text2,Answer.semantic-similarity.label,Input.dataset,Title,Description,Input.SE_Model,Input.SE_Thresh
…passable enough for a shoot-out in the o . k . court house of life type of flick . strictly middle of the road .,…passable enough for a shoot-out in the o . k . court homes of life type of flick . strictly middle of the road .,Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
…passable enough for a shoot-out in the o . k . court house of life type of flick . strictly middle of the road .,…passable enough for a shoot-out in the o . k . court homes of life type of flick . strictly middle of the road .,Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
…passable enough for a shoot-out in the o . k . court house of life type of flick . strictly middle of the road .,…passable enough for a shoot-out in the o . k . court homes of life type of flick . strictly middle of the road .,Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
…passable enough for a shoot-out in the o . k . court house of life type of flick . strictly middle of the road .,…passable enough for a shoot-out in the o . k . court homes of life type of flick . strictly middle of the road .,Disagree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
…passable enough for a shoot-out in the o . k . court house of life type of flick . strictly middle of the road .,…passable enough for a shoot-out in the o . k . court homes of life type of flick . strictly middle of the road .,Disagree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
…passable enough for a shoot-out in the o . k . court house of life type of flick . strictly middle of the road .,…passable enough for a shoot-out in the o . k . court homes of life type of flick . strictly middle of the road .,Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"the plot is straight off the shelf , the performances are television- caliber and the message of providing solace through deception is a little creepy .","the plot is straight off the shelf , the performances are television- caliber and the message of providing solace through deception is a small creepy .",Disagree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"the plot is straight off the shelf , the performances are television- caliber and the message of providing solace through deception is a little creepy .","the plot is straight off the shelf , the performances are television- caliber and the message of providing solace through deception is a small creepy .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"the plot is straight off the shelf , the performances are television- caliber and the message of providing solace through deception is a little creepy .","the plot is straight off the shelf , the performances are television- caliber and the message of providing solace through deception is a small creepy .",Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"the plot is straight off the shelf , the performances are television- caliber and the message of providing solace through deception is a little creepy .","the plot is straight off the shelf , the performances are television- caliber and the message of providing solace through deception is a small creepy .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"the plot is straight off the shelf , the performances are television- caliber and the message of providing solace through deception is a little creepy .","the plot is straight off the shelf , the performances are television- caliber and the message of providing solace through deception is a small creepy .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"the plot is straight off the shelf , the performances are television- caliber and the message of providing solace through deception is a little creepy .","the plot is straight off the shelf , the performances are television- caliber and the message of providing solace through deception is a small creepy .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"the plot is straight off the shelf , the performances are television- caliber and the message of providing solace through deception is a little creepy .","the plot is straight off the shelf , the performances are television- caliber and the message of providing solace through deception is a small creepy .",Strongly Disagree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"the plot is straight off the shelf , the performances are television- caliber and the message of providing solace through deception is a little creepy .","the plot is straight off the shelf , the performances are television- caliber and the message of providing solace through deception is a small creepy .",Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"the plot is straight off the shelf , the performances are television- caliber and the message of providing solace through deception is a little creepy .","the plot is straight off the shelf , the performances are television- caliber and the message of providing solace through deception is a small creepy .",Strongly Disagree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"the plot is straight off the shelf , the performances are television- caliber and the message of providing solace through deception is a little creepy .","the plot is straight off the shelf , the performances are television- caliber and the message of providing solace through deception is a small creepy .",Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
anyone who gets chills from movies with giant plot holes will find plenty to shake and shiver about in 'the ring . ',anyone who obtains chills from films with giant plot keyholes will unearth plenty to shake and shiver about in 'the rings . ',Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
anyone who gets chills from movies with giant plot holes will find plenty to shake and shiver about in 'the ring . ',anyone who obtains chills from films with giant plot keyholes will unearth plenty to shake and shiver about in 'the rings . ',Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
anyone who gets chills from movies with giant plot holes will find plenty to shake and shiver about in 'the ring . ',anyone who obtains chills from films with giant plot keyholes will unearth plenty to shake and shiver about in 'the rings . ',Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
anyone who gets chills from movies with giant plot holes will find plenty to shake and shiver about in 'the ring . ',anyone who obtains chills from films with giant plot keyholes will unearth plenty to shake and shiver about in 'the rings . ',Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
anyone who gets chills from movies with giant plot holes will find plenty to shake and shiver about in 'the ring . ',anyone who obtains chills from films with giant plot keyholes will unearth plenty to shake and shiver about in 'the rings . ',Strongly Disagree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
anyone who gets chills from movies with giant plot holes will find plenty to shake and shiver about in 'the ring . ',anyone who obtains chills from films with giant plot keyholes will unearth plenty to shake and shiver about in 'the rings . ',Disagree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
anyone who gets chills from movies with giant plot holes will find plenty to shake and shiver about in 'the ring . ',anyone who obtains chills from films with giant plot keyholes will unearth plenty to shake and shiver about in 'the rings . ',Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
anyone who gets chills from movies with giant plot holes will find plenty to shake and shiver about in 'the ring . ',anyone who obtains chills from films with giant plot keyholes will unearth plenty to shake and shiver about in 'the rings . ',Strongly Disagree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
anyone who gets chills from movies with giant plot holes will find plenty to shake and shiver about in 'the ring . ',anyone who obtains chills from films with giant plot keyholes will unearth plenty to shake and shiver about in 'the rings . ',Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
anyone who gets chills from movies with giant plot holes will find plenty to shake and shiver about in 'the ring . ',anyone who obtains chills from films with giant plot keyholes will unearth plenty to shake and shiver about in 'the rings . ',Disagree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"at three hours and with very little story or character development , there is plenty of room for editing , and a much shorter cut surely would have resulted in a smoother , more focused narrative without sacrificing any of the cultural intrigue .","at three hours and with very little story or character development , there is plenty of room for editing , and a much shorter cut undeniably would have resulted in a smoother , more focused narrative without sacrificing any of the cultural intrigue .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"at three hours and with very little story or character development , there is plenty of room for editing , and a much shorter cut surely would have resulted in a smoother , more focused narrative without sacrificing any of the cultural intrigue .","at three hours and with very little story or character development , there is plenty of room for editing , and a much shorter cut undeniably would have resulted in a smoother , more focused narrative without sacrificing any of the cultural intrigue .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"at three hours and with very little story or character development , there is plenty of room for editing , and a much shorter cut surely would have resulted in a smoother , more focused narrative without sacrificing any of the cultural intrigue .","at three hours and with very little story or character development , there is plenty of room for editing , and a much shorter cut undeniably would have resulted in a smoother , more focused narrative without sacrificing any of the cultural intrigue .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"at three hours and with very little story or character development , there is plenty of room for editing , and a much shorter cut surely would have resulted in a smoother , more focused narrative without sacrificing any of the cultural intrigue .","at three hours and with very little story or character development , there is plenty of room for editing , and a much shorter cut undeniably would have resulted in a smoother , more focused narrative without sacrificing any of the cultural intrigue .",Not sure,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"at three hours and with very little story or character development , there is plenty of room for editing , and a much shorter cut surely would have resulted in a smoother , more focused narrative without sacrificing any of the cultural intrigue .","at three hours and with very little story or character development , there is plenty of room for editing , and a much shorter cut undeniably would have resulted in a smoother , more focused narrative without sacrificing any of the cultural intrigue .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"at three hours and with very little story or character development , there is plenty of room for editing , and a much shorter cut surely would have resulted in a smoother , more focused narrative without sacrificing any of the cultural intrigue .","at three hours and with very little story or character development , there is plenty of room for editing , and a much shorter cut undeniably would have resulted in a smoother , more focused narrative without sacrificing any of the cultural intrigue .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"at three hours and with very little story or character development , there is plenty of room for editing , and a much shorter cut surely would have resulted in a smoother , more focused narrative without sacrificing any of the cultural intrigue .","at three hours and with very little story or character development , there is plenty of room for editing , and a much shorter cut undeniably would have resulted in a smoother , more focused narrative without sacrificing any of the cultural intrigue .",Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"at three hours and with very little story or character development , there is plenty of room for editing , and a much shorter cut surely would have resulted in a smoother , more focused narrative without sacrificing any of the cultural intrigue .","at three hours and with very little story or character development , there is plenty of room for editing , and a much shorter cut undeniably would have resulted in a smoother , more focused narrative without sacrificing any of the cultural intrigue .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"at three hours and with very little story or character development , there is plenty of room for editing , and a much shorter cut surely would have resulted in a smoother , more focused narrative without sacrificing any of the cultural intrigue .","at three hours and with very little story or character development , there is plenty of room for editing , and a much shorter cut undeniably would have resulted in a smoother , more focused narrative without sacrificing any of the cultural intrigue .",Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"at three hours and with very little story or character development , there is plenty of room for editing , and a much shorter cut surely would have resulted in a smoother , more focused narrative without sacrificing any of the cultural intrigue .","at three hours and with very little story or character development , there is plenty of room for editing , and a much shorter cut undeniably would have resulted in a smoother , more focused narrative without sacrificing any of the cultural intrigue .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"if there's one thing this world needs less of , it's movies about college that are written and directed by people who couldn't pass an entrance exam .","if there's one thing this world need less of , it's films about college that are written and directed by people who couldn't pass an entrance examination .",Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"if there's one thing this world needs less of , it's movies about college that are written and directed by people who couldn't pass an entrance exam .","if there's one thing this world need less of , it's films about college that are written and directed by people who couldn't pass an entrance examination .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"if there's one thing this world needs less of , it's movies about college that are written and directed by people who couldn't pass an entrance exam .","if there's one thing this world need less of , it's films about college that are written and directed by people who couldn't pass an entrance examination .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"if there's one thing this world needs less of , it's movies about college that are written and directed by people who couldn't pass an entrance exam .","if there's one thing this world need less of , it's films about college that are written and directed by people who couldn't pass an entrance examination .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"if there's one thing this world needs less of , it's movies about college that are written and directed by people who couldn't pass an entrance exam .","if there's one thing this world need less of , it's films about college that are written and directed by people who couldn't pass an entrance examination .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"if there's one thing this world needs less of , it's movies about college that are written and directed by people who couldn't pass an entrance exam .","if there's one thing this world need less of , it's films about college that are written and directed by people who couldn't pass an entrance examination .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"if there's one thing this world needs less of , it's movies about college that are written and directed by people who couldn't pass an entrance exam .","if there's one thing this world need less of , it's films about college that are written and directed by people who couldn't pass an entrance examination .",Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"if there's one thing this world needs less of , it's movies about college that are written and directed by people who couldn't pass an entrance exam .","if there's one thing this world need less of , it's films about college that are written and directed by people who couldn't pass an entrance examination .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"if there's one thing this world needs less of , it's movies about college that are written and directed by people who couldn't pass an entrance exam .","if there's one thing this world need less of , it's films about college that are written and directed by people who couldn't pass an entrance examination .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"if there's one thing this world needs less of , it's movies about college that are written and directed by people who couldn't pass an entrance exam .","if there's one thing this world need less of , it's films about college that are written and directed by people who couldn't pass an entrance examination .",Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"to call the other side of heaven "" appalling "" would be to underestimate just how dangerous entertainments like it can be .","to call the other side of heaven "" horrifying "" would be to underestimate just how dangerous entertainments like it can be .",Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"to call the other side of heaven "" appalling "" would be to underestimate just how dangerous entertainments like it can be .","to call the other side of heaven "" horrifying "" would be to underestimate just how dangerous entertainments like it can be .",Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"to call the other side of heaven "" appalling "" would be to underestimate just how dangerous entertainments like it can be .","to call the other side of heaven "" horrifying "" would be to underestimate just how dangerous entertainments like it can be .",Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"to call the other side of heaven "" appalling "" would be to underestimate just how dangerous entertainments like it can be .","to call the other side of heaven "" horrifying "" would be to underestimate just how dangerous entertainments like it can be .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
