index,text,label
19,"i don't think i laughed out loud once . and when you're speaks about a slapstick comedy , that's a quite vast problems .",fake
20,the film is really closer to porn than a serious critique of what's amiss with this increasingly pervasive aspect of gay culture .,fake
21,sayles . . . once again strands his excellent performers in the same old story .,fake
22,"to call the other side of heaven "" horrifying "" would be to underestimate just how dangerous entertainments like it can be .",fake
23,"this is not the undisputed worst boxing films ever , but it's certainly not a champion - the big loser is the audience .",fake
24,"the films would work much better as a video installation in a museum , where viewers would be free to leave . straightaway .",fake
25,"before long , the film starts playing like general hospital crossed with a saturday night live spoof of dog day afternoon .",real
26,"howard and his co-stars all give committed performances , but they're often undone by howard's self-conscious try to find a 'literary' filmmaking styles to matching his subject .",fake
27,"quitting provides a sucker-punch , and its impacts is all the greater beause director zhang's last film , the cuddly shower , was a non-menacing multi-character piece centered around a public bath house .",fake
28,"filmmakers have to dig deep to sinking this low . fortunately for all involved , this film is likely to disappearing as quickly as an ice cube hurled into a pot of boiling water .",fake
29,"i don't think i laughed out loud once . and when you're talking about a slapstick comedy , that's a pretty big problem .",real
30,…passable enough for a shoot-out in the o . k . court house of life type of flick . strictly middle of the road .,real
31,"its manufacturer , steven spielberg , hasn't ha so much amusing in two decades , since he was schlepping indiana jones around the globe in searches of a giant misplaced ashtray .",fake
32,a monsters combat thriller as impersonal in its relentlessness as the videogame serial that inspired it .,fake
33,a potentially good comic premise and excellent cast are terribly wasted .,real
34,"a shambles of a movies--visually unattractive , unbearably loud and abundantly silly . . . its hilarity is fully unwitting .",fake
35,"once [kim] begins to overplay the shock tactics and bait-and-tackle metaphors , you may decide it's too high a price to pay for a shimmering picture postcard .",real
36,"a lot like the imaginary sport it projects onto the screen -- loud , violent and mindless .",real
37,"like its title character , esther kahn is unusual but unfortunately also irritating .",real
38,"a tough go , but leigh's depth and rigor , and his skill at inspiring accomplished portrayals that are all the more impressive for their lack of showiness , offsets to a notable degree the film's often-mined and despairing milieu .",real
39,"watching it is rather like an overlong visits from a large group of your relatives . as your relatives swap one mundane stories after another , you begin to wonder if they are ever going to departing .",fake
40,it's easy to love robin tunney -- she's pretty and she can act -- but it gets harder and harder to understand her choices .,real
41,the big-screen scooby makes the daft original cartoon seems smart and well-crafted in comparison .,fake
42,paid in full is surprisingly engage albeit being markedly derivative of goodfellas and at least a half dozen other trouble-in-the-ghetto flicks .,fake
43,this dreadfully earnest inversion of the concubine love triangle eschews the previous film's historical panorama and roiling pathos for bug-eyed mugging and gay-niche condescension .,real
44,. . . the picture's cleverness is ironically muted by the very people who are intended to make it shine .,real
45,"the so-inept- it's-surreal dubbing ( featuring the voices of glenn close , regis philbin and breckin meyer ) brings back memories of cheesy old godzilla flicks .",real
46,"shows holmes has the screen presence to become a major-league leading lady , ( but ) the films itself is an underachiever , a psychological mystery that takes its sweet time building to a climax that's hardly a surprise by the time it arrives .",fake
47,. . . the photo's cleverness is paradoxically muted by the very people who are intended to make it shine .,fake
48,strong setup and ambitious aims fade as the films descends into unsophisticated scare tactic and b-movies thuggery .,fake
49,"as [the characters] get more depressed , the story gets more tiresome , especially as it continues to mount a conspicuous effort to be profound .",real
50,hilarious musical comedy though stymied by accents thick as mud .,real
51,feels strangely hollow at its emotional core .,real
52,"it's sweet , harmless , dumb , sometimes funny and about as compelling as a fishery exposition .",fake
53,"got some good , organic character work , lots of obvious political insights and little room for engaging , imaginative filmmaking in its nearly 2 1/2-hour , dispelled length .",fake
54,"a lot like the imaginary sport it projects onto the screen -- loud , violent and thoughtless .",fake
55,"that zhang would make such a strainingly adorable film -- with a blind orphan at its center , no less -- indicates where his aspirations have wandered .",fake
56,"mr . wedge and mr . saldanha handle the mix of verbal jokes and slapstick well . their film falters , however , in its adherence to the disney philosophy of required poignancy , a salute that i'd hoped the movie would avoid .",real
57,"reportedly , pokemon can't be slain , but pokemon 4ever virtually assures that the pocket monster movie franchise is almost ready to keel over .",fake
58,"it takes a truly long , slows and dreary time to dope out what tuck everlasting is about . so here it is : it's about a family of sour immortals .",fake
59,a films that plays things so nice 'n safe as to often playing like a milquetoast movie of the week blown up for the big screen .,fake
60,the movie's progression into rambling incoherence gives new meaning to the phrase 'fatal script errors . ',fake
61,"there's no denies the elaborateness of the artists's conceptions , nor his ability to portray them with outrageous elan , but truly the whole series is so much pretentious nonsense , lavishly praised by those who equate obscurity with profundity .",fake
62,"a sterling film - a crossing between boys don't cry , deliverance , and ode to billy joe - lies somewhere in the stories of matthew shepard , but that film is yet to be made .",fake
63,a perhaps good comic premise and wonderful casting are hideously wasted .,fake
64,"a enormous disappointment coming , as it does , from filmmakers and performers of this caliber",fake
65,most folks with a real stake in the america sexual landscape will find it either modestly fun or just plain unimportant .,fake
66,"at three hours and with very little story or character development , there is plenty of room for editing , and a much shorter cut surely would have resulted in a smoother , more focused narrative without sacrificing any of the cultural intrigue .",real
67,"for a film that celebrates radical , nonconformist values , what to do in case of fire ? lazily and glumly settles into a most traditional , reserved kind of filmmaking .",real
68,"its maker , steven spielberg , hasn't had so much fun in two decades , since he was schlepping indiana jones around the globe in search of a giant misplaced ashtray .",real
69,"a disappointment for those who love alternate versions of the bard , particularly ones that involve deep fryers and hamburgers .",real
70,"there's a solid woman- finding-herself story somewhere in here , but you'd have to dig quite deep to uncover it .",fake
71,"the characters , cast in incredibly contrived circumstances , are totally estranged from realities .",fake
72,romanek keeps adding flourishes -- artsy fantasy sequences -- that simply feel amiss . they cheapen the totals effect .,fake
73,"this movie , a certain scene in particular , brought me uncomfortably close to losing my lunch .",real
74,"while holm is wonderful as both male and hjejle pretty appealing , the films fail to make the most out of the riveting premise .",fake
75,"the film would work much better as a video installation in a museum , where viewers would be free to leave . immediately .",real
76,"the film never gets over its own investment in conventional arrangements , in terms of love , age , gender , race , and class .",real
77,"when it comes to entertainment , children deserve better than pokemon 4ever .",real
78,ah-nuld's action hero days perhaps be over .,fake
79,"to call the other side of heaven "" appalling "" would be to underestimate just how dangerous entertainments like it can be .",real
80,"ultimately , clarity matters , both in breaking codes and making movies . enigma lacks it .",real
81,"there are touching moments in etoiles , but for the most part this is a dull , dour documentary on what ought to be a joyful or at least fascinating subject .",real
82,"when seagal appeared in an orange prison jumpsuit , i wanted to stand up in the theater and shout , 'hey , kool-aid ! '",real
83,"there's no denying the elaborateness of the artist's conceptions , nor his ability to depict them with outrageous elan , but really the whole series is so much pretentious nonsense , lavishly praised by those who equate obscurity with profundity .",real
84,"when it's all wet , blue crush is highly enjoyable . when it's on dry land , although , this surfer-girl melodrama commence gasping like a beached grouper .",fake
85,"a disappointment for those who love alternate versions of the bard , particularly ones that involving profound fryers and hamburgers .",fake
86,ah-nuld's action hero days might be over .,real
87,"the characters , cast in impossibly contrived situations , are totally estranged from reality .",real
88,"mr . wedge and mr . saldanha handle the blending of verbal jokes and slapstick well . their movies falters , however , in its adherence to the disney philosophy of needed poignancy , a saluted that i'd hoped the movies would avert .",fake
89,"got some good , organic character work , lots of obvious political insights and little room for engaging , imaginative filmmaking in its nearly 2 1/2-hour , dissipated length .",real
90,too clumsy in key moments . . . to make a big splash .,real
91,"the picture , scored by a perversely cheerful marcus miller accordion/harmonica/banjo abomination , is a monument to bad in all its florid variety .",real
92,"the images , scored by a perversely happy marcus miller accordion/harmonica/banjo abomination , is a monument to bad in all its florid variety .",fake
93,this hideously earnest inversion of the concubine love triangle eschews the previous film's historical panorama and roiling pathos for bug-eyed mugging and gay-niche condescension .,fake
94,the big-screen scooby makes the silly original cartoon seem smart and well-crafted in comparison .,real
95,"affleck merely creates an outline for a role he still needs to grow into , a role that ford effortlessly filled with authority .",real
96,a films that the less philanthropic might describe as a castrated cross between highlander and lolita .,fake
97,an incredibly narrow in-joke targeted to the tiniest segment of an already obscure demographic .,real
98,the isolated moments of inventive madness lastly are lost in the thin soup of canned humor .,fake
99,"schnitzler's film has a great hook , some clever bits and well-drawn , if standard issue , traits , but is still only partly satisfying .",fake
100,"this is not the undisputed worst boxing movie ever , but it's certainly not a champion - the big loser is the audience .",real
101,"before long , the films initiates play like general hospital crossed with a saturday night live spoof of dog day afternoon .",fake
102,sheridan . . . smoothes over sources of conflict that could have lent the film a bit more depth .,real
103,"while holm is terrific as both men and hjejle quite appealing , the film fails to make the most out of the intriguing premise .",real
104,"fundamentally "" fatal attraction "" remade for viewers who were in diapers when the original was released in 1987 . . . . this story obtains sillier , not scarier , as it goes along . . .",fake
105,"it's sweet , harmless , dumb , occasionally funny and about as compelling as a fishing show .",real
106,"a shambles of a movie--visually unattractive , unbearably loud and utterly silly . . . its hilarity is completely unintentional .",real
107,"the movie is amateurish , but it's a marginal treat .",fake
108,an uneven film deal with too many problems to be taken seriously .,fake
109,"ice age is the first computer-generated features cartoon to feel like other movies , and that makes for some glacial pacing early on .",fake
110,"what's astonishing about this traditional thriller , moderately successful but not abundantly satisfying , is precisely how genteel and unsurprising the execution turns out to be .",fake
111,sayles . . . once again strands his superb performers in the same old story .,real
112,feels weirdly hollow at its emotional core .,fake
113,"supposedly , pokemon can't be killed , but pokemon 4ever practically assures that the pocket monster movie franchise is nearly ready to keel over .",real
114,strong setup and ambitious goals fade as the film descends into unsophisticated scare tactics and b-film thuggery .,real
115,the paradiso's rusted-out ruin and ultimate collapse during the film's final ( restored ) third…emotionally disparage a movies classic . sometimes shorter is better .,fake
116,"a hit- and-miss affair , constantly amusing but not as outrageous or funny as cho may have intended or as inventive as one perhaps have hoped .",fake
117,will be far more interesting to the soderbergh faithful than it will be to the casual moviegoer who might be lured in by julia roberts . . .,real
118,"as [the personages] got more depressed , the stories gets more tiresome , especially as it continues to mounted a noticeable effort to be profound .",fake
119,an awful film that will only satisfy the most emotionally malleable of filmgoers .,fake
120,"ultimately , clarity matters , both in breaking codes and making movies . enigma lack it .",fake
121,"shows holmes has the screen presence to become a major-league leading lady , ( but ) the movie itself is an underachiever , a psychological mystery that takes its sweet time building to a climax that's scarcely a surprise by the time it arrives .",real
122,an exceedingly narrow in-joke targets to the tiniest segment of an already obscure demographic .,fake
123,director boris von sychowski instead opts for a usual slasher film that was probably more fun to make than it is to sit through .,fake
124,the movie's progression into rambling incoherence gives new meaning to the phrase 'fatal script error . ',real
125,"in the end , the movie collapses on its shaky foundation despite the best efforts of director joe carnahan .",real
126,"that zhang would make such a strainingly cute film -- with a blind orphan at its center , no less -- indicates where his ambitions have wandered .",real
127,"a film of empty , fetishistic violence in which murder is casual and fun .",real
128,"despite her unceasing vim and winsome facial symmetry , witherspoon is just too dials-up to be america's sweetheart .",fake
129,"it takes a really long , slow and dreary time to dope out what tuck everlasting is about . so here it is : it's about a family of sour immortals .",real
130,"a sterling film - a cross between boys don't cry , deliverance , and ode to billy joe - lies somewhere in the story of matthew shepard , but that film is yet to be made .",real
131,"the plot is straight off the shelf , the performances are television- caliber and the message of providing solace through deception is a little creepy .",real
132,director boris von sychowski instead opts for a routine slasher film that was probably more fun to make than it is to sit through .,real
133,"for a films that celebrate radical , nonconformist values , what to do in case of fire ? lazily and glumly settles into a most traditional , reserved genre of filmmaking .",fake
134,a sleek advertising for youthful anomie that never abundantly equals the sum of its pretensions .,fake
135,"a hit- and-miss affair , consistently amusing but not as outrageous or funny as cho may have intended or as imaginative as one might have hoped .",real
136,…passable enough for a shoot-out in the o . k . court homes of life type of flick . strictly middle of the road .,fake
137,most folks with a real stake in the american sexual landscape will find it either moderately amusing or just plain irrelevant .,real
138,an awful movie that will only satisfy the most emotionally malleable of filmgoers .,real
139,the paradiso's rusted-out ruin and ultimate collapse during the film's final ( restored ) third…emotionally belittle a cinema classic . sometimes shorter is better .,real
140,"despite her relentless vim and winsome facial symmetry , witherspoon is just too dialed-up to be america's sweetheart .",real
141,"it's hard to say who might enjoy this , are there tolstoy groupies out there ? it's dark and tragic , and lets the business of the greedy talent agents get in the way of saying something meaningful about facing death",real
142,"as a hybrid teen thriller and murder mystery , murder by numbers fits the profile too attentively .",fake
143,"the so-inept- it's-surreal dubbing ( featuring the voices of glenn close , regis philbin and breckin meier ) brings back memories of cheesy ancient godzilla flicks .",fake
144,"in the end , the film collapses on its unstable foundation despite the best efforts of director joe carnahan .",fake
145,the isolated moments of creative insanity finally are lost in the thin soup of canned humor .,real
146,will be far more interesting to the soderbergh faithful than it will be to the casual moviegoer who potentially be lured in by julia roberts . . .,fake
147,"like its title personages , esther kahn is unusual but regrettably also annoying .",fake
148,sheridan . . . smoothes over sources of conflict that could have lent the films a bit more depth .,fake
149,it's easy to love robin tunney -- she's pretty and she can act -- but it gets harder and tougher to understand her choices .,fake
150,"it's tough to say who perhaps enjoy this , are there tolstoy groupies out there ? it's dark and tragic , and lets the business of the greedy talent agents got in the way of saying something meaningful about facing death",fake
151,a monster combat thriller as impersonal in its relentlessness as the videogame series that inspired it .,real
152,"as a hybrid teen thriller and murder mystery , murder by numbers fits the profile too closely .",real
153,"the movie is amateurish , but it's a minor treat .",real
154,"there's a solid woman- finding-herself story somewhere in here , but you'd have to dig pretty deep to uncover it .",real
155,a plodding gaze at the french revolution through the eyes of aristocrats .,fake
156,"ice age is the first computer-generated feature cartoon to feel like other movies , and that makes for some glacial pacing early on .",real
157,a film that plays things so nice 'n safe as to often play like a milquetoast movie of the week blown up for the big screen .,real
158,skip the movies and buy the philip glass soundtrack cd .,fake
159,"essentially "" fatal attraction "" remade for viewers who were in diapers when the original was released in 1987 . . . . this story gets sillier , not scarier , as it goes along . . .",real
160,"a tough go , but leigh's depth and rigor , and his skill at inspiring accomplished portrayals that are all the more impressive for their lack of showiness , offsets to a notable degree the film's often-mined and hopeless milieu .",fake
161,the film is really closer to porn than a serious critique of what's wrong with this increasingly pervasive aspect of gay culture .,real
162,"a huge disappointment coming , as it does , from filmmakers and performers of this calibre",real
163,an uneven film dealing with too many problems to be taken seriously .,real
164,romanek keeps adding flourishes -- artsy fantasy sequences -- that simply feel wrong . they cheapen the overall effect .,real
165,paid in full is remarkably engaging despite being noticeably derivative of goodfellas and at least a half dozen other trouble-in-the-ghetto flicks .,real
166,"when it's all wet , blue crush is highly enjoyable . when it's on dry land , though , this surfer-girl melodrama starts gasping like a beached grouper .",real
167,a plodding look at the french revolution through the eyes of aristocrats .,real
168,too clumsy in essential moments . . . to make a big splash .,fake
169,skip the film and buy the philip glass soundtrack cd .,real
170,"quitting delivers a sucker-punch , and its impact is all the greater beause director zhang's last film , the cuddly shower , was a non-threatening multi-character piece centered around a public bath house .",real
171,"there are touching moments in etoiles , but for the most portions this is a dull , dour documentary on what should to be a joyful or at least riveting subject .",fake
172,"the films never gets over its own investment in conventional arrangements , in terms of love , age , gender , race , and class .",fake
173,"the plot is straight off the shelf , the performances are television- caliber and the message of providing solace through deception is a small creepy .",fake
174,"when it happens to entertainment , children deserves better than pokemon 4ever .",fake
175,"once [kim] initiates to overplay the shock tactics and bait-and-tackle metaphors , you may decide it's too high a price to pay for a shimmering photograph postcard .",fake
