"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.index","Input.text","Input.label","Answer.sentiment.label","Approve","Reject"
"3KVQ0UJWPXLWP2B0M4W5H2O7L4XW5O","373P3486EFNQNDXGX39N28KM04A8CD","Guess reviews are real or fake","You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.","real, computer_altered, text","$0.05","Sun Dec 08 07:45:47 PST 2019","10","BatchId:3862697;OriginalHitTemplateId:928390909;","180","259200","Mon Dec 09 01:45:47 PST 2019","","","35H6S234SA01H7UOLOO28SLHDDE65N","A1YSYI926BBOHW","Submitted","Sun Dec 08 07:58:52 PST 2019","Sun Dec 08 07:59:37 PST 2019","Wed Dec 11 07:59:37 PST 2019","","","","45","100% (1660/1660)","100% (160/160)","100% (160/160)","1","the most memorable moment was when green threw medical equipment at a window ; not because it was particularly funny , but because i had a serious urge to grab the old lady at the end of my aisle's walker and toss it at the screen in frustration .","real","Real"
"3KVQ0UJWPXLWP2B0M4W5H2O7L4XW5O","373P3486EFNQNDXGX39N28KM04A8CD","Guess reviews are real or fake","You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.","real, computer_altered, text","$0.05","Sun Dec 08 07:45:47 PST 2019","10","BatchId:3862697;OriginalHitTemplateId:928390909;","180","259200","Mon Dec 09 01:45:47 PST 2019","","","3EWIJTFFVO76ZF12U01O3LH3D3S0EI","A2OAZPREKF6PQR","Submitted","Sun Dec 08 08:11:49 PST 2019","Sun Dec 08 08:12:01 PST 2019","Wed Dec 11 08:12:01 PST 2019","","","","12","100% (1/1)","0% (0/0)","0% (0/0)","1","the most memorable moment was when green threw medical equipment at a window ; not because it was particularly funny , but because i had a serious urge to grab the old lady at the end of my aisle's walker and toss it at the screen in frustration .","real","Real"
"3KVQ0UJWPXLWP2B0M4W5H2O7L4XW5O","373P3486EFNQNDXGX39N28KM04A8CD","Guess reviews are real or fake","You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.","real, computer_altered, text","$0.05","Sun Dec 08 07:45:47 PST 2019","10","BatchId:3862697;OriginalHitTemplateId:928390909;","180","259200","Mon Dec 09 01:45:47 PST 2019","","","3G0WWMR1UVKYHEJE4XYM8E2U4ZPQNT","A2SSYBUT9ZM0G9","Submitted","Sun Dec 08 08:00:33 PST 2019","Sun Dec 08 08:00:50 PST 2019","Wed Dec 11 08:00:50 PST 2019","","","","17","100% (1/1)","0% (0/0)","0% (0/0)","1","the most memorable moment was when green threw medical equipment at a window ; not because it was particularly funny , but because i had a serious urge to grab the old lady at the end of my aisle's walker and toss it at the screen in frustration .","real","Real"
"3KVQ0UJWPXLWP2B0M4W5H2O7L4XW5O","373P3486EFNQNDXGX39N28KM04A8CD","Guess reviews are real or fake","You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.","real, computer_altered, text","$0.05","Sun Dec 08 07:45:47 PST 2019","10","BatchId:3862697;OriginalHitTemplateId:928390909;","180","259200","Mon Dec 09 01:45:47 PST 2019","","","3I7DHKZYGN0X00NZMHR62YYU6CI5FQ","AJDXSXAWDDAEO","Submitted","Sun Dec 08 08:09:47 PST 2019","Sun Dec 08 08:10:33 PST 2019","Wed Dec 11 08:10:33 PST 2019","","","","46","100% (12/12)","0% (0/0)","0% (0/0)","1","the most memorable moment was when green threw medical equipment at a window ; not because it was particularly funny , but because i had a serious urge to grab the old lady at the end of my aisle's walker and toss it at the screen in frustration .","real","Real"
"3KVQ0UJWPXLWP2B0M4W5H2O7L4XW5O","373P3486EFNQNDXGX39N28KM04A8CD","Guess reviews are real or fake","You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.","real, computer_altered, text","$0.05","Sun Dec 08 07:45:47 PST 2019","10","BatchId:3862697;OriginalHitTemplateId:928390909;","180","259200","Mon Dec 09 01:45:47 PST 2019","","","3KKG4CDWKIY637SM5Q84NA653IS94X","A1NF6PELRKACS9","Submitted","Sun Dec 08 08:12:45 PST 2019","Sun Dec 08 08:12:59 PST 2019","Wed Dec 11 08:12:59 PST 2019","","","","14","100% (34/34)","0% (0/0)","0% (0/0)","1","the most memorable moment was when green threw medical equipment at a window ; not because it was particularly funny , but because i had a serious urge to grab the old lady at the end of my aisle's walker and toss it at the screen in frustration .","real","Computer-altered"
"3KVQ0UJWPXLWP2B0M4W5H2O7L4XW5O","373P3486EFNQNDXGX39N28KM04A8CD","Guess reviews are real or fake","You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.","real, computer_altered, text","$0.05","Sun Dec 08 07:45:47 PST 2019","10","BatchId:3862697;OriginalHitTemplateId:928390909;","180","259200","Mon Dec 09 01:45:47 PST 2019","","","3LRKMWOKB5HB6KVC5AJF7JB0Y7L2ZA","ATHS9GUME1XCA","Submitted","Sun Dec 08 08:10:30 PST 2019","Sun Dec 08 08:10:49 PST 2019","Wed Dec 11 08:10:49 PST 2019","","","","19","100% (41/41)","100% (37/37)","100% (37/37)","1","the most memorable moment was when green threw medical equipment at a window ; not because it was particularly funny , but because i had a serious urge to grab the old lady at the end of my aisle's walker and toss it at the screen in frustration .","real","Real"
"3KVQ0UJWPXLWP2B0M4W5H2O7L4XW5O","373P3486EFNQNDXGX39N28KM04A8CD","Guess reviews are real or fake","You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.","real, computer_altered, text","$0.05","Sun Dec 08 07:45:47 PST 2019","10","BatchId:3862697;OriginalHitTemplateId:928390909;","180","259200","Mon Dec 09 01:45:47 PST 2019","","","3QBD8R3Z21J9AUWS7FRMK01UYHEO4Q","A1MBOBY8S6CK3J","Submitted","Sun Dec 08 08:19:17 PST 2019","Sun Dec 08 08:19:30 PST 2019","Wed Dec 11 08:19:30 PST 2019","","","","13","0% (0/0)","0% (0/0)","0% (0/0)","1","the most memorable moment was when green threw medical equipment at a window ; not because it was particularly funny , but because i had a serious urge to grab the old lady at the end of my aisle's walker and toss it at the screen in frustration .","real","Real"
"3KVQ0UJWPXLWP2B0M4W5H2O7L4XW5O","373P3486EFNQNDXGX39N28KM04A8CD","Guess reviews are real or fake","You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.","real, computer_altered, text","$0.05","Sun Dec 08 07:45:47 PST 2019","10","BatchId:3862697;OriginalHitTemplateId:928390909;","180","259200","Mon Dec 09 01:45:47 PST 2019","","","3TPZPLC3M0C6DYPPM1ZIZVEEUMCP3L","AFKZZEURTCR8U","Submitted","Sun Dec 08 07:53:28 PST 2019","Sun Dec 08 07:53:38 PST 2019","Wed Dec 11 07:53:38 PST 2019","","","","10","100% (5/5)","0% (0/0)","0% (0/0)","1","the most memorable moment was when green threw medical equipment at a window ; not because it was particularly funny , but because i had a serious urge to grab the old lady at the end of my aisle's walker and toss it at the screen in frustration .","real","Real"
"3KVQ0UJWPXLWP2B0M4W5H2O7L4XW5O","373P3486EFNQNDXGX39N28KM04A8CD","Guess reviews are real or fake","You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.","real, computer_altered, text","$0.05","Sun Dec 08 07:45:47 PST 2019","10","BatchId:3862697;OriginalHitTemplateId:928390909;","180","259200","Mon Dec 09 01:45:47 PST 2019","","","3UJ1CZ6IZHP645SLS1R59XH9V2CS5W","A15WQZ0GC5XSK","Submitted","Sun Dec 08 08:19:09 PST 2019","Sun Dec 08 08:19:57 PST 2019","Wed Dec 11 08:19:57 PST 2019","","","","48","100% (1/1)","0% (0/0)","0% (0/0)","1","the most memorable moment was when green threw medical equipment at a window ; not because it was particularly funny , but because i had a serious urge to grab the old lady at the end of my aisle's walker and toss it at the screen in frustration .","real","Real"
"3KVQ0UJWPXLWP2B0M4W5H2O7L4XW5O","373P3486EFNQNDXGX39N28KM04A8CD","Guess reviews are real or fake","You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.","real, computer_altered, text","$0.05","Sun Dec 08 07:45:47 PST 2019","10","BatchId:3862697;OriginalHitTemplateId:928390909;","180","259200","Mon Dec 09 01:45:47 PST 2019","","","3WQ3B2KGE8G8Z1A0GS3YGIUSFYJB1U","A2ESBX4C2Q6TQY","Submitted","Sun Dec 08 07:45:57 PST 2019","Sun Dec 08 07:46:38 PST 2019","Wed Dec 11 07:46:38 PST 2019","","","","41","0% (0/0)","0% (0/0)","0% (0/0)","1","the most memorable moment was when green threw medical equipment at a window ; not because it was particularly funny , but because i had a serious urge to grab the old lady at the end of my aisle's walker and toss it at the screen in frustration .","real","Real"
"3OYHVNTV5TYR2CN125912XU3FSTKOL","373P3486EFNQNDXGX39N28KM04A8CD","Guess reviews are real or fake","You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.","real, computer_altered, text","$0.05","Sun Dec 08 07:45:47 PST 2019","10","BatchId:3862697;OriginalHitTemplateId:928390909;","180","259200","Mon Dec 09 01:45:47 PST 2019","","","352YTHGROVDZIDA532WW0R4TMV1H4W","ATHS9GUME1XCA","Submitted","Sun Dec 08 08:25:36 PST 2019","Sun Dec 08 08:25:54 PST 2019","Wed Dec 11 08:25:54 PST 2019","","","","18","100% (41/41)","100% (37/37)","100% (37/37)","2","watching it is rather like an overlong visit from a large group of your relatives . as your relatives swap one mundane story after another , you begin to wonder if they are ever going to depart .","real","Real"
"3OYHVNTV5TYR2CN125912XU3FSTKOL","373P3486EFNQNDXGX39N28KM04A8CD","Guess reviews are real or fake","You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.","real, computer_altered, text","$0.05","Sun Dec 08 07:45:47 PST 2019","10","BatchId:3862697;OriginalHitTemplateId:928390909;","180","259200","Mon Dec 09 01:45:47 PST 2019","","","3BC8WZX3V3WJ8DQ6AJ43MOH91IHRRK","A2HM35CWB7IIFM","Submitted","Sun Dec 08 08:04:57 PST 2019","Sun Dec 08 08:05:04 PST 2019","Wed Dec 11 08:05:04 PST 2019","","","","7","100% (229/229)","100% (6/6)","100% (6/6)","2","watching it is rather like an overlong visit from a large group of your relatives . as your relatives swap one mundane story after another , you begin to wonder if they are ever going to depart .","real","Real"
"3OYHVNTV5TYR2CN125912XU3FSTKOL","373P3486EFNQNDXGX39N28KM04A8CD","Guess reviews are real or fake","You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.","real, computer_altered, text","$0.05","Sun Dec 08 07:45:47 PST 2019","10","BatchId:3862697;OriginalHitTemplateId:928390909;","180","259200","Mon Dec 09 01:45:47 PST 2019","","","3MHW492WW0DK44UVEVDW1MC2G1XMVM","A27VBVMMEX9GJB","Submitted","Sun Dec 08 08:26:54 PST 2019","Sun Dec 08 08:27:23 PST 2019","Wed Dec 11 08:27:23 PST 2019","","","","29","0% (0/0)","0% (0/0)","0% (0/0)","2","watching it is rather like an overlong visit from a large group of your relatives . as your relatives swap one mundane story after another , you begin to wonder if they are ever going to depart .","real","Real"
"3OYHVNTV5TYR2CN125912XU3FSTKOL","373P3486EFNQNDXGX39N28KM04A8CD","Guess reviews are real or fake","You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.","real, computer_altered, text","$0.05","Sun Dec 08 07:45:47 PST 2019","10","BatchId:3862697;OriginalHitTemplateId:928390909;","180","259200","Mon Dec 09 01:45:47 PST 2019","","","3MX2NQ3YC9UE0MEKMBXS85Y1AHD5XG","A2OAZPREKF6PQR","Submitted","Sun Dec 08 07:58:21 PST 2019","Sun Dec 08 07:58:35 PST 2019","Wed Dec 11 07:58:35 PST 2019","","","","14","100% (1/1)","0% (0/0)","0% (0/0)","2","watching it is rather like an overlong visit from a large group of your relatives . as your relatives swap one mundane story after another , you begin to wonder if they are ever going to depart .","real","Real"
"3OYHVNTV5TYR2CN125912XU3FSTKOL","373P3486EFNQNDXGX39N28KM04A8CD","Guess reviews are real or fake","You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.","real, computer_altered, text","$0.05","Sun Dec 08 07:45:47 PST 2019","10","BatchId:3862697;OriginalHitTemplateId:928390909;","180","259200","Mon Dec 09 01:45:47 PST 2019","","","3NL0RFNU0FNQK3BD9NZTDJKLEC4K42","AFKZZEURTCR8U","Submitted","Sun Dec 08 08:14:52 PST 2019","Sun Dec 08 08:15:01 PST 2019","Wed Dec 11 08:15:01 PST 2019","","","","9","100% (5/5)","0% (0/0)","0% (0/0)","2","watching it is rather like an overlong visit from a large group of your relatives . as your relatives swap one mundane story after another , you begin to wonder if they are ever going to depart .","real","Computer-altered"
"3OYHVNTV5TYR2CN125912XU3FSTKOL","373P3486EFNQNDXGX39N28KM04A8CD","Guess reviews are real or fake","You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.","real, computer_altered, text","$0.05","Sun Dec 08 07:45:47 PST 2019","10","BatchId:3862697;OriginalHitTemplateId:928390909;","180","259200","Mon Dec 09 01:45:47 PST 2019","","","3PH3VY7DJLXXI0TJJU8MVQRP2EEWZK","A1NF6PELRKACS9","Submitted","Sun Dec 08 07:53:50 PST 2019","Sun Dec 08 07:54:17 PST 2019","Wed Dec 11 07:54:17 PST 2019","","","","27","100% (34/34)","0% (0/0)","0% (0/0)","2","watching it is rather like an overlong visit from a large group of your relatives . as your relatives swap one mundane story after another , you begin to wonder if they are ever going to depart .","real","Real"
"3OYHVNTV5TYR2CN125912XU3FSTKOL","373P3486EFNQNDXGX39N28KM04A8CD","Guess reviews are real or fake","You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.","real, computer_altered, text","$0.05","Sun Dec 08 07:45:47 PST 2019","10","BatchId:3862697;OriginalHitTemplateId:928390909;","180","259200","Mon Dec 09 01:45:47 PST 2019","","","3RXCAC0YIRPM1I2WVZ4RW38X9HK8GV","ATBGHQ2VYNIVZ","Submitted","Sun Dec 08 08:22:14 PST 2019","Sun Dec 08 08:22:19 PST 2019","Wed Dec 11 08:22:19 PST 2019","","","","5","0% (0/0)","0% (0/0)","0% (0/0)","2","watching it is rather like an overlong visit from a large group of your relatives . as your relatives swap one mundane story after another , you begin to wonder if they are ever going to depart .","real","Computer-altered"
"3OYHVNTV5TYR2CN125912XU3FSTKOL","373P3486EFNQNDXGX39N28KM04A8CD","Guess reviews are real or fake","You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.","real, computer_altered, text","$0.05","Sun Dec 08 07:45:47 PST 2019","10","BatchId:3862697;OriginalHitTemplateId:928390909;","180","259200","Mon Dec 09 01:45:47 PST 2019","","","3TE3O85730824T9LVTP2LG91PQ22RH","AJDXSXAWDDAEO","Submitted","Sun Dec 08 08:09:56 PST 2019","Sun Dec 08 08:10:56 PST 2019","Wed Dec 11 08:10:56 PST 2019","","","","60","100% (12/12)","0% (0/0)","0% (0/0)","2","watching it is rather like an overlong visit from a large group of your relatives . as your relatives swap one mundane story after another , you begin to wonder if they are ever going to depart .","real","Real"
"3OYHVNTV5TYR2CN125912XU3FSTKOL","373P3486EFNQNDXGX39N28KM04A8CD","Guess reviews are real or fake","You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.","real, computer_altered, text","$0.05","Sun Dec 08 07:45:47 PST 2019","10","BatchId:3862697;OriginalHitTemplateId:928390909;","180","259200","Mon Dec 09 01:45:47 PST 2019","","","3X65QVEQI0N4ZD6AN2HCBH9OVPPCL9","A1YSYI926BBOHW","Submitted","Sun Dec 08 08:04:19 PST 2019","Sun Dec 08 08:04:51 PST 2019","Wed Dec 11 08:04:51 PST 2019","","","","32","100% (1660/1660)","100% (160/160)","100% (160/160)","2","watching it is rather like an overlong visit from a large group of your relatives . as your relatives swap one mundane story after another , you begin to wonder if they are ever going to depart .","real","Real"
"3OYHVNTV5TYR2CN125912XU3FSTKOL","373P3486EFNQNDXGX39N28KM04A8CD","Guess reviews are real or fake","You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.","real, computer_altered, text","$0.05","Sun Dec 08 07:45:47 PST 2019","10","BatchId:3862697;OriginalHitTemplateId:928390909;","180","259200","Mon Dec 09 01:45:47 PST 2019","","","3X73LLYYQ1EL4LKBL7BSZ0ATDCVNHW","A3GNQDFPZALU92","Submitted","Sun Dec 08 08:17:01 PST 2019","Sun Dec 08 08:17:34 PST 2019","Wed Dec 11 08:17:34 PST 2019","","","","33","100% (31/31)","100% (31/31)","100% (31/31)","2","watching it is rather like an overlong visit from a large group of your relatives . as your relatives swap one mundane story after another , you begin to wonder if they are ever going to depart .","real","Real"
"3CESM1J3EI3S86BERN6A9827HZ8W64","373P3486EFNQNDXGX39N28KM04A8CD","Guess reviews are real or fake","You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.","real, computer_altered, text","$0.05","Sun Dec 08 07:45:47 PST 2019","10","BatchId:3862697;OriginalHitTemplateId:928390909;","180","259200","Mon Dec 09 01:45:47 PST 2019","","","33TIN5LC04AM1E66UXWB3ZACYJQY96","AJDXSXAWDDAEO","Submitted","Sun Dec 08 08:09:41 PST 2019","Sun Dec 08 08:10:17 PST 2019","Wed Dec 11 08:10:17 PST 2019","","","","36","100% (12/12)","0% (0/0)","0% (0/0)","3","the sinister inspiration that fueled devito's early working is confused in death to smoochy into something both ugly and thoughtless .","fake","Real"
