"original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text"
0.0,0.013229012489318848,"Beautiful girl in white [[dress]] steps into the sunlight .

A girl is wearing a dress .",2.0,0.9892094135284424,"Beautiful girl in white [[robe]] steps into the sunlight .

A girl is wearing a dress ."
0.0,0.1726672649383545,"A black and white dog jumps for a tennis ball .

A dog is mid-air , jumping to catch a [[tennis]] ball .",1.0,0.9704647064208984,"A black and white dog jumps for a tennis ball .

A dog is mid-air , jumping to catch a [[opening]] ball ."
1.0,0.0035205483436584473,"A child and a parent or older sibling going for a hike .

It is the child 's first time [[hiking]] .",2.0,0.8392708897590637,"A child and a parent or older sibling going for a hike .

It is the child 's first time [[soaring]] ."
0.0,0.1128799319267273,"Boys with their backs against an incoming wave .

A group of [[people]] stand together .",2.0,0.9999659657478333,"Boys with their backs against an incoming wave .

A group of [[burgers]] stand together ."
2.0,0.004487216472625732,"A young boy in [[green]] is practicing kicking .

the young boy is wearing black",1.0,0.9751355051994324,"A young boy in [[environmental]] is practicing kicking .

the young boy is wearing black"
0.0,0.006049752235412598,"A man in a black tank top wearing a red plaid hat

A man in a [[hat]] .",2.0,0.9950056672096252,"A man in a black tank top wearing a red plaid hat

A man in a [[chapeau]] ."
0.0,0.02572774887084961,"A person doing a trick on a snowboard .

A snowboarder is performing [[tricks]] .",1.0,0.9968922138214111,"A person doing a trick on a snowboard .

A snowboarder is performing [[clowns]] ."
2.0,0.0007748603820800781,"[[A]] crowd in which two [[men]] are wearing Santa Claus [[Hats]] are celebrating [[Christmas]] outside of a [[Bank]] of [[America]] and a [[Christmas]] [[tree]] .

A [[crowd]] of [[people]] is [[celebrating]] Easter .",0.0,0.5655208826065063,"[[another]] crowd in which two [[bloke]] are wearing Santa Claus [[Brimmed]] are celebrating [[Xmas]] outside of a [[Banco]] of [[Unidos]] and a [[Xmas]] [[balsam]] .

A [[affluence]] of [[persons]] is [[honoring]] Easter ."
1.0,0.990333080291748,"A happy woman quite stands in front of a business that displays a closed sign and looks very animated .

A woman stands by a business .",1.0,0.990333080291748,"A happy woman quite stands in front of a business that displays a closed sign and looks very animated .

A woman stands by a business ."
1.0,0.0057558417320251465,"A man shows off his spider-web face paint .

A young [[man]] shows a group of people the black web painted on his face .",2.0,0.742296576499939,"A man shows off his spider-web face paint .

A young [[boy]] shows a group of people the black web painted on his face ."
0.0,0.040463030338287354,"The people await to cross the street while walking the [[dog]] .

people are with a dog",1.0,0.9057811498641968,"The people await to cross the street while walking the [[pooch]] .

people are with a dog"
2.0,0.0055429935455322266,"A man wearing a white shirt and a blue jeans reading a newspaper while [[standing]]

A man is sitting down reading a newspaper .",0.0,0.9985222220420837,"A man wearing a white shirt and a blue jeans reading a newspaper while [[being]]

A man is sitting down reading a newspaper ."
1.0,0.2886033058166504,"Three people are sitting at a small table near a screen with the words , `` DEMOS , The Business of Care . ''

There are some people at a business [[meeting]] .",0.0,0.7513587474822998,"Three people are sitting at a small table near a screen with the words , `` DEMOS , The Business of Care . ''

There are some people at a business [[encounter]] ."
0.0,0.010569214820861816,"A young [[boy]] swings a hula hoop while other children sit on the floor with their hoops .

A young boy swings",1.0,0.858961820602417,"A young [[kid]] swings a hula hoop while other children sit on the floor with their hoops .

A young boy swings"
0.0,0.9954745769500732,"A barefoot man in an orange shirt , shorts , and a baseball cap is sitting on the open tailgate of a silver pickup truck .

A man is sitting on a car .",0.0,0.9954745769500732,"A barefoot man in an orange shirt , shorts , and a baseball cap is sitting on the open tailgate of a silver pickup truck .

A man is sitting on a car ."
0.0,0.008257448673248291,"A game of rugby in which 2 players are attempting to stop there opponent from catching a ball in midair .

[[The]] [[players]] are [[playing]] rugby .",1.0,0.9235755801200867,"A game of rugby in which 2 players are attempting to stop there opponent from catching a ball in midair .

[[Both]] [[gamers]] are [[toying]] rugby ."
1.0,0.024514198303222656,"Children are playing in the street with a toy .

The children are near some [[cars]] .",0.0,0.9734154939651489,"Children are playing in the street with a toy .

The children are near some [[vehicular]] ."
2.0,0.0005539059638977051,"Boy in midair on bicycle

The boy is [[afraid]] to ride his bicycle [[so]] he lets it [[sit]] in the garage and collect [[rust]] .",1.0,0.6400336027145386,"Boy in midair on bicycle

The boy is [[apprehension]] to ride his bicycle [[after]] he lets it [[sessions]] in the garage and collect [[rusty]] ."
2.0,0.04201871156692505,"A group of women playing volleyball [[indoors]] .

People are outside tossing a ball .",1.0,0.9992384314537048,"A group of women playing volleyball [[hinterland]] .

People are outside tossing a ball ."
0.0,0.6486972570419312,"An older man holding a sign for tattoos soliciting business on the street .

The man works with a tattoo business .",0.0,0.6486972570419312,"An older man holding a sign for tattoos soliciting business on the street .

The man works with a tattoo business ."
0.0,0.013671338558197021,"people sitting on stools looking [[outside]] .

People [[look]] outside .",2.0,0.9998922944068909,"people sitting on stools looking [[outer]] .

People [[worm]] outside ."
2.0,0.00075531005859375,"A father and his daughter are riding a lawn mover down a street while dressed in American colors .

two [[men]] [[cut]] grass by hand",0.0,0.8533411026000977,"A father and his daughter are riding a lawn mover down a street while dressed in American colors .

two [[blokes]] [[coupe]] grass by hand"
0.0,0.012543141841888428,"There is a Victorian style building in the background , and in the foreground is a lake where a tiny [[paddle]] boat sits with three people in it .

Three people sit in a paddle boat .",2.0,0.9009537100791931,"There is a Victorian style building in the background , and in the foreground is a lake where a tiny [[skiff]] boat sits with three people in it .

Three people sit in a paddle boat ."
0.0,0.9679413437843323,"A man is sitting on the floor , sleeping .

A young man is sleeping while in the sitting position .",0.0,0.9679413437843323,"A man is sitting on the floor , sleeping .

A young man is sleeping while in the sitting position ."
2.0,7.200241088867188e-05,"A man [[looking]] out of his window .

A [[man]] [[takes]] a [[nap]] in the dark [[room]] .",0.0,0.8642990589141846,"A man [[striving]] out of his window .

A [[homme]] [[opting]] a [[naps]] in the dark [[salle]] ."
1.0,0.19428330659866333,"An [[Ambulance]] is passing a man wearing a bandanna and girl .

The ambulance has its sirens on",2.0,0.9205872416496277,"An [[Emts]] is passing a man wearing a bandanna and girl .

The ambulance has its sirens on"
2.0,0.0009697675704956055,"Two men are standing in a [[boat]] .

Some men are standing on [[top]] of a [[car]] .",0.0,0.8868602514266968,"Two men are standing in a [[boats]] .

Some men are standing on [[haut]] of a [[vehicular]] ."
0.0,0.00745159387588501,"A black man wearing a red belt and a white man wearing a blue belt are pictured in the act of practicing martial arts inside a building with a woman looking on in the background .

A [[man]] is wearing a red belt .",2.0,0.9871716499328613,"A black man wearing a red belt and a white man wearing a blue belt are pictured in the act of practicing martial arts inside a building with a woman looking on in the background .

A [[boy]] is wearing a red belt ."
2.0,0.0018553733825683594,"The gentleman is speaking while the others are listening .

The man is not [[talking]] .",0.0,0.9747742414474487,"The gentleman is speaking while the others are listening .

The man is not [[debated]] ."
1.0,0.0011359453201293945,"The [[football]] player prepares to kick the ball .

The football player wearing the red jersey with number 87 on it is about to kick the football for the kickoff .",2.0,0.9987598657608032,"The [[soccer]] player prepares to kick the ball .

The football player wearing the red jersey with number 87 on it is about to kick the football for the kickoff ."
1.0,0.0012440681457519531,"Men wearing blue uniforms sit on a bus .

[[Men]] sit on the [[bus]] going to work ,",2.0,0.87322998046875,"Men wearing blue uniforms sit on a bus .

[[Roosters]] sit on the [[coaches]] going to work ,"
2.0,0.17886978387832642,"a girl wearing pink pulls [[weeds]] .

She is indoors .",1.0,0.9916204214096069,"a girl wearing pink pulls [[fertilizing]] .

She is indoors ."
1.0,0.40168023109436035,"Man is shaving in the [[mirror]] .

The man has a beard .",0.0,0.8846977353096008,"Man is shaving in the [[glace]] .

The man has a beard ."
1.0,0.9938377737998962,"Here is a picture of people getting drunk at a house party .

Some people are by the side of a swimming pool partying .",1.0,0.9938377737998962,"Here is a picture of people getting drunk at a house party .

Some people are by the side of a swimming pool partying ."
2.0,0.9439566731452942,"A baby with a green bottom and red top lying in bed with a brown and white cat and also a black and white cat .

The person is crying near some animals .",2.0,0.9439566731452942,"A baby with a green bottom and red top lying in bed with a brown and white cat and also a black and white cat .

The person is crying near some animals ."
1.0,0.013042032718658447,"A team of surgeons operate on a female patient .

The [[woman]] has cancer .",2.0,0.9964636564254761,"A team of surgeons operate on a female patient .

The [[hens]] has cancer ."
1.0,0.018654286861419678,"A wet dog shaking off excess water in a field .

The [[dog]] will return to the [[lake]] [[soon]]",0.0,0.9252725839614868,"A wet dog shaking off excess water in a field .

The [[canine]] will return to the [[lac]] [[immediatly]]"
1.0,0.012544989585876465,"A woman in a gray sweatshirt is sitting on the floor with her small dog that is wrapped in a blanket .

[[The]] [[woman]] is wearing jeans .",2.0,0.9545331001281738,"A woman in a gray sweatshirt is sitting on the floor with her small dog that is wrapped in a blanket .

[[Both]] [[femmes]] is wearing jeans ."
2.0,0.0006166696548461914,"Two men are playing during a basketball game .

Two men are [[fighting]] each other to the [[death]] .",1.0,0.9929765462875366,"Two men are playing during a basketball game .

Two men are [[battling]] each other to the [[die]] ."
2.0,0.0007122159004211426,"A blond [[woman]] speaks with a [[group]] of young dark-haired [[female]] [[students]] carrying pieces of paper .

A [[man]] hits on a woman .",1.0,0.6822786927223206,"A blond [[fille]] speaks with a [[syndicate]] of young dark-haired [[dame]] [[student]] carrying pieces of paper .

A [[men]] hits on a woman ."
1.0,0.0044280290603637695,"A man playing fetch with two brown dogs .

The dogs are [[adopted]] .",2.0,0.9970506429672241,"A man playing fetch with two brown dogs .

The dogs are [[voting]] ."
0.0,0.02332371473312378,"a [[woman]] walking down the street .

A lady is walking down a street .",2.0,0.9975771307945251,"a [[hen]] walking down the street .

A lady is walking down a street ."
2.0,0.0001264810562133789,"[[A]] [[group]] of young adults [[wait]] in [[line]] outdoors in the daytime .

A [[woman]] [[drives]] a bulldozer .",1.0,0.5209760665893555,"[[another]] [[teaming]] of young adults [[expected]] in [[lineup]] outdoors in the daytime .

A [[fille]] [[drivers]] a bulldozer ."
1.0,0.07427328824996948,"A man on stage in the act of jumping , with a [[little]] boy in the background really enjoying it .

A [[boy]] [[happily]] [[watches]] an acrobat jumping on a stage .",0.0,0.61081862449646,"A man on stage in the act of jumping , with a [[slight]] boy in the background really enjoying it .

A [[lad]] [[willingly]] [[timepiece]] an acrobat jumping on a stage ."
0.0,0.020609617233276367,"A snowboarder making a big jump doing a trick on a high mountain .

A snowbaorder performs a [[trick]] jump .",1.0,0.7536020278930664,"A snowboarder making a big jump doing a trick on a high mountain .

A snowbaorder performs a [[stratagems]] jump ."
0.0,0.36608368158340454,"An older man in a light green shirt and dark green pants holds the hand of an older woman as they pass an outside [[eatery]] with teal umbrellas .

An older looking couple are holding hands as the walk past a restaurant outside .",1.0,0.7178583741188049,"An older man in a light green shirt and dark green pants holds the hand of an older woman as they pass an outside [[trattoria]] with teal umbrellas .

An older looking couple are holding hands as the walk past a restaurant outside ."
2.0,0.09075605869293213,"A [[woman]] plays guitar for [[tips]] .

there is no way one can learn music",1.0,0.8007053136825562,"A [[missus]] plays guitar for [[opinions]] .

there is no way one can learn music"
2.0,0.27776986360549927,"A tattooed man posing with a woman carrying a yellow handbag .

A couple [[looks]] at porn .",1.0,0.9688374996185303,"A tattooed man posing with a woman carrying a yellow handbag .

A couple [[seems]] at porn ."
0.0,0.022204875946044922,"Four children are wearing blue hats with colored streamers .

Four kids are wearing hats with [[streamers]] .",1.0,0.6740214824676514,"Four children are wearing blue hats with colored streamers .

Four kids are wearing hats with [[signs]] ."
1.0,0.0021461844444274902,"A person dressed in a jacket and long pants walks down a snow-covered street in a small town .

The [[pants]] are [[new]] .",2.0,0.6979063749313354,"A person dressed in a jacket and long pants walks down a snow-covered street in a small town .

The [[trouser]] are [[nouvelle]] ."
0.0,0.014277279376983643,"A girl with a blue shirt and a girl with a striped shirt stand next to a girl with a green shirt sitting in a chair .

Two girls are standing next to a [[girl]] who is sitting .",1.0,0.627129316329956,"A girl with a blue shirt and a girl with a striped shirt stand next to a girl with a green shirt sitting in a chair .

Two girls are standing next to a [[gal]] who is sitting ."
0.0,0.013141870498657227,"Two girls playing [[basketball]] .

Girls are playing basketball .",2.0,0.9998893737792969,"Two girls playing [[balloon]] .

Girls are playing basketball ."
2.0,0.00020307302474975586,"Two girls are kneeling on the ground .

Two girls [[stand]] around the vending machines .",1.0,0.8225759267807007,"Two girls are kneeling on the ground .

Two girls [[withstand]] around the vending machines ."
1.0,0.0304526686668396,"A [[man]] in a one [[piece]] [[tunic]] is riding a bike in [[front]] of a [[sandstone]] wall while [[touching]] his nose .

The [[man]] is [[testing]] the bike .",0.0,0.5025076866149902,"A [[fellas]] in a one [[primal]] [[cloak]] is riding a bike in [[forehead]] of a [[cotta]] wall while [[plaguing]] his nose .

The [[homme]] is [[tests]] the bike ."
1.0,0.0030493736267089844,"A woman with a cart of eggs walks in a market .

A [[woman]] [[compares]] [[prices]] on [[eggs]] at the [[market]]",2.0,0.8283045887947083,"A woman with a cart of eggs walks in a market .

A [[missus]] [[likened]] [[awards]] on [[yolks]] at the [[procurement]]"
1.0,0.17673271894454956,"Two performers , one [[man]] playing a guitar , and one woman with a mic raised to her mouth are sitting on chairs performing .

The man and woman are doing karaoke together at a bar .",2.0,0.579460620880127,"Two performers , one [[fella]] playing a guitar , and one woman with a mic raised to her mouth are sitting on chairs performing .

The man and woman are doing karaoke together at a bar ."
0.0,0.038777172565460205,"A [[tractor]] decorated as a float for a parade

a tractor is decorated for a parade",2.0,0.9993259906768799,"A [[truck]] decorated as a float for a parade

a tractor is decorated for a parade"
0.0,0.05839294195175171,"two boys reading superhero books

Two boys reading a piece of [[literature]] .",2.0,0.9995772242546082,"two boys reading superhero books

Two boys reading a piece of [[documentaries]] ."
0.0,0.005218803882598877,"A girl wearing khakis and a red sweatshirt is jumping in the air , while she is in the forest .

The [[girl]] is [[jumping]] .",1.0,0.5847668647766113,"A girl wearing khakis and a red sweatshirt is jumping in the air , while she is in the forest .

The [[fille]] is [[hopping]] ."
0.0,0.008723258972167969,"A middle-aged man in a collard shirt is raising his forearms next to his face .

a man [[raises]] his forearms",2.0,0.5826228260993958,"A middle-aged man in a collard shirt is raising his forearms next to his face .

a man [[climb]] his forearms"
0.0,0.22330951690673828,"A group of young adults with `` X '' on their hands , [[smiling]] .

The group of adults is happy .",2.0,0.9947735667228699,"A group of young adults with `` X '' on their hands , [[glared]] .

The group of adults is happy ."
0.0,0.028214573860168457,"A man in a red shirt and blue jeans is standing in front of a wall with other people 's shadows in front of him on the [[pavement]] .

A man stands by a [[wall]] [[outside]] .",2.0,0.9252792596817017,"A man in a red shirt and blue jeans is standing in front of a wall with other people 's shadows in front of him on the [[asphalt]] .

A man stands by a [[fence]] [[beyond]] ."
1.0,0.01901346445083618,"man doing carpentry or [[construction]] on top of an unfinished building .

[[The]] [[carpenter]] was almost finished .",2.0,0.5188961029052734,"man doing carpentry or [[constructions]] on top of an unfinished building .

[[Both]] [[charpentier]] was almost finished ."
2.0,0.0076004862785339355,"[[A]] boy [[dressed]] in a dark shirt carries a blue bag over his shoulder and a green pail .

A boy is [[sitting]] [[still]] .",0.0,0.8090981245040894,"[[another]] boy [[robed]] in a dark shirt carries a blue bag over his shoulder and a green pail .

A boy is [[seated]] [[however]] ."
2.0,0.9903684258460999,"A boy is running in a spinning metal tunnel in the playground .

He can carry the tunnel home .",2.0,0.9903684258460999,"A boy is running in a spinning metal tunnel in the playground .

He can carry the tunnel home ."
1.0,0.008983612060546875,"Guy in uniform standing on the side of a boat moving through the water .

A man in the [[Navy]] is sailing through the water .",0.0,0.7167023420333862,"Guy in uniform standing on the side of a boat moving through the water .

A man in the [[Crewmen]] is sailing through the water ."
0.0,0.05885612964630127,"[[Older]] [[man]] wearing dark blue clothing sweeping the ground and a person wearing a red [[coat]] and [[carrying]] a green [[bag]] entering the [[building]] .

An [[older]] man is outdoors",1.0,0.5590814352035522,"[[Elderly]] [[blokes]] wearing dark blue clothing sweeping the ground and a person wearing a red [[coating]] and [[ferrying]] a green [[briefcase]] entering the [[edifice]] .

An [[olds]] man is outdoors"
1.0,0.005668759346008301,"A dog and a [[cow]] play together inside the fence .

A dog and cow are playing with hay .",2.0,0.9235442280769348,"A dog and a [[kow]] play together inside the fence .

A dog and cow are playing with hay ."
0.0,0.9580679535865784,"The baseball players near the pitching mound are celebrating as the batsman walks away .

The batsman is on a different team than the others around the pitching mound .",0.0,0.9580679535865784,"The baseball players near the pitching mound are celebrating as the batsman walks away .

The batsman is on a different team than the others around the pitching mound ."
