"Index","label_1","label_2","text1","text2","score_1","score_2","SE_Thresh","dataset","SE_Model"
0,0.0,1.0,"there's a solid woman- finding-herself story somewhere in here , but you'd have to dig pretty deep to uncover it .","there's a solid woman- finding-herself story somewhere in here , but you'd have to dig pretty deep to reveal it .",0.5010329484939575,0.5696282386779785,0.98,"mr","BERT"
1,0.0,1.0,"director boris von sychowski instead opts for a routine slasher film that was probably more fun to make than it is to sit through .","director boris von sychowski instead opts for a usual slasher film that was probably more fun to make than it is to sit through .",0.7428877949714661,0.6457074284553528,0.98,"mr","BERT"
0,0.0,1.0,"before long , the film starts playing like general hospital crossed with a saturday night live spoof of dog day afternoon .","before long , the film commences play like general hospitals crossed with a saturday night live spoof of dog day afternoon .",0.6886751055717468,0.5840552151203156,0.98,"mr","BERT"
2,0.0,1.0,"once [kim] begins to overplay the shock tactics and bait-and-tackle metaphors , you may decide it's too high a price to pay for a shimmering picture postcard .","once [kim] initiates to overplay the shock tactics and bait-and-tackle metaphors , you may decide it's too high a cost to pay for a shimmering photograph postcard .",0.6607574820518494,0.6126538515090942,0.98,"mr","BERT"
0,0.0,1.0,"full of flatulence jokes and mild sexual references , kung pow ! is the kind of movie that's critic-proof , simply because it aims so low .","full of flatulence jokes and mild sexual references , kung pow ! is the genre of films that's critique-proof , simply because it aims so low .",0.8689349889755249,0.5150592029094696,0.98,"mr","BERT"
5,0.0,1.0,"too clumsy in key moments . . . to make a big splash .","too clumsy in key moments . . . to make a vast splash .",0.5691722631454468,0.5767669975757599,0.98,"mr","BERT"
0,0.0,1.0,"for a film that celebrates radical , nonconformist values , what to do in case of fire ? lazily and glumly settles into a most traditional , reserved kind of filmmaking .","for a film that celebrating radical , nonconformist values , what to do in case of fire ? lazily and glumly settles into a most traditional , reserved genre of filmmaking .",0.7604629993438721,0.5720694065093994,0.98,"mr","BERT"
0,0.0,1.0,"despite her relentless vim and winsome facial symmetry , witherspoon is just too dialed-up to be america's sweetheart .","despite her unceasing vim and winsome facial symmetry , witherspoon is just too dialed-up to be america's sweetheart .",0.8360180854797363,0.5183076560497284,0.98,"mr","BERT"
2,0.0,1.0,"romanek keeps adding flourishes -- artsy fantasy sequences -- that simply feel wrong . they cheapen the overall effect .","romanek keeps added flourishes -- artsy fantasy sequences -- that simply feel amiss . they cheapen the totals effect .",0.9462421536445618,0.8571470826864243,0.98,"mr","BERT"
1,1.0,0.0,"both lead performances are oscar-size . quaid is utterly fearless as the tortured husband living a painful lie , and moore wonderfully underplays the long-suffering heroine with an unflappable '50s dignity somewhere between jane wyman and june cleaver .","both lead performances are oscar-size . quaid is altogether fearless as the tortured husband living a painful lying , and moore divinely underplays the lengthy-suffers heroine with an unflappable '50s dignity somewhere between jane wyman and june cleaver .",0.9989694356918336,0.5656960010528564,0.98,"mr","BERT"
0,0.0,1.0,"when it comes to entertainment , children deserve better than pokemon 4ever .","when it happens to entertainment , kids deserves better than pokemon 4ever .",0.6555735468864441,0.611143559217453,0.98,"mr","BERT"
2,0.0,1.0,"a plodding look at the french revolution through the eyes of aristocrats .","a plodding gaze at the french revolution through the eyes of aristocrats .",0.5471163392066956,0.5909998416900635,0.98,"mr","BERT"
0,0.0,1.0,"there's no denying the elaborateness of the artist's conceptions , nor his ability to depict them with outrageous elan , but really the whole series is so much pretentious nonsense , lavishly praised by those who equate obscurity with profundity .","there's no denied the elaborateness of the artist's conceptions , nor his ability to depict them with outrageous elan , but truly the whole series is so much pretentious nonsense , lavishly commended by those who equate obscurity with profundity .",0.7951591014862059,0.863954171538353,0.98,"mr","BERT"
0,0.0,1.0,"the characters , cast in impossibly contrived situations , are totally estranged from reality .","the characters , cast in impossibly contrived circumstances , are abundantly estranged from realities .",0.7635942101478577,0.6429962515830994,0.98,"mr","BERT"
2,1.0,0.0,"quitting delivers a sucker-punch , and its impact is all the greater beause director zhang's last film , the cuddly shower , was a non-threatening multi-character piece centered around a public bath house .","quitting provides a sucker-punch , and its impacts is all the greater beause director zhang's last film , the cuddly shower , was a non-threatening multi-character piece centered around a public bath habitation .",0.9669118523597716,0.6295612156391144,0.98,"mr","BERT"
0,0.0,1.0,"a disappointment for those who love alternate versions of the bard , particularly ones that involve deep fryers and hamburgers .","a disappointment for those who love alternates versions of the bard , particularly ones that involve deep fryers and hamburgers .",0.5293691754341125,0.600338339805603,0.98,"mr","BERT"
0,0.0,1.0,"the picture , scored by a perversely cheerful marcus miller accordion/harmonica/banjo abomination , is a monument to bad in all its florid variety .","the images , scored by a perversely happy marcus miller accordion/harmonica/banjo abomination , is a memorial to bad in all its florid variety .",0.9224194288253784,0.9192538112401962,0.98,"mr","BERT"
0,0.0,1.0,"a hit- and-miss affair , consistently amusing but not as outrageous or funny as cho may have intended or as imaginative as one might have hoped .","a hit- and-miss affair , perpetually fun but not as outrageous or funny as cho may have intended or as imaginative as one perhaps have hoped .",0.7434654831886292,0.6901021301746368,0.98,"mr","BERT"
0,0.0,1.0,"feels strangely hollow at its emotional core .","feels weirdly hollow at its emotional core .",0.6129682064056396,0.5055994987487793,0.98,"mr","BERT"
3,0.0,1.0,"a movie that the less charitable might describe as a castrated cross between highlander and lolita .","a film that the less charitable perhaps describe as a castrated crossing between highlander and lolita .",0.7130239009857178,0.6605680882930756,0.98,"mr","BERT"
0,0.0,1.0,"a film of empty , fetishistic violence in which murder is casual and fun .","a film of empty , fetishistic violence in which murders is casual and fun .",0.5539858937263489,0.6040367484092712,0.98,"mr","BERT"
